variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,4.252920108857635,0.5018412139630682
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,2.2888783869131886,0.569733335367253
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,lognormal,,,3.0191701291546407,0.4869002551999613
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,4.38869459237332,0.5832692811442896
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,4.107263736070514,0.664813504770322
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,8.819473790254325,3.855773148103213,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,lognormal,,,3.637994214931991,0.7972724408365114
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,1.945932359074654,0.4699465205172007
The average number of employees for venture-backed companies that have raised over 1 million USD but no more than 4 million USD and are not technology companies.,medium_8,normal,lognormal,,,3.05474191602495,0.8129288690465238
The probability that a venture-backed company is based in the US when it has raised over 14 million USD in total funding and employs at most 28 people.,medium_9,beta,beta,6.083738484963924,3.241009861821154,,
The average total raised in millions USD for venture-backed companies headquartered in the United States with 8 to 15 employees.,medium_10,normal,lognormal,,,2.098446385454552,0.7923747770715039
The average total raised in millions USD for venture-backed companies whose headquarters are in the United States and that operate in the technology sector.,medium_11,normal,lognormal,,,3.3986624145157114,0.4846539989497907
"The probability that a venture-backed company is based in the US, given that it is a technology company and has raised over 13 million USD.",medium_12,beta,beta,8.994021581952047,4.9043664816912775,,
The average total raised in millions USD for venture-backed companies that are not technology companies and have between 8 and 16 employees.,medium_13,normal,lognormal,,,1.6540188723608138,0.8227237907277222
The probability that a venture-backed company is a technology company given it has between 18 and 45 employees and has raised between 6 and 15 million USD.,medium_14,beta,beta,7.371134534644499,2.585798854165698,,
The average total raised in millions USD for venture-backed companies based in the US with at most 7 employees.,medium_15,normal,lognormal,,,1.0500871636109617,0.7662893424694507
"The probability that a venture-backed company is based in the US, given it has raised between 4 million and 14 million USD and is a technology company.",medium_16,beta,beta,7.933284331312398,3.5210999054184957,,
The average total raised in millions USD for venture-backed companies that are headquartered in the US and have more than 42 employees.,medium_17,normal,lognormal,,,3.7841483488895036,0.8565418592008477
The average total raised in millions USD for venture-backed companies that are not based in the US and have more than 49 employees.,medium_18,normal,lognormal,,,3.2068302904887864,0.6396031306072224
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are headquartered in the United States.,medium_19,normal,lognormal,,,4.252822158379332,0.7722922212544912
"The probability that a venture-backed company is a technology company, given that it has raised between 4 and 14 million USD, is headquartered outside the US, and employs more than 52 people.",hard_0,beta,beta,14.79735483490616,6.319096656920808,,
"The average total raised in millions USD for venture-backed companies that are based outside the US, have between 9 and 19 employees inclusive, and are not technology companies.",hard_1,normal,lognormal,,,1.3076110123310556,0.6156709542356442
The average number of employees for venture-backed companies that are US-based technology companies and have raised between 6 million and 19 million USD.,hard_2,normal,lognormal,,,4.147233809312333,0.5223365390446312
"The average total raised in millions USD for venture-backed companies that are non-technology companies, are based in the United States, and have at most 7 employees.",hard_3,normal,lognormal,,,1.1338424815800803,0.5845589123588707
"The average number of employees for venture-backed companies that have raised between 4 and 14 million USD, are technology companies, and are headquartered outside the United States.",hard_4,normal,lognormal,,,3.903224875669675,0.6758800477622433
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 1 million USD but no more than 4 million USD.",hard_5,normal,gaussian,,,23.200000578384067,9.758259960089276
"The average number of employees for venture-backed companies that have raised at most 1 million USD, are based in the US, and operate as technology companies.",hard_6,normal,lognormal,,,2.2370723689899212,0.5990398850801755
"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 42 employees, and operate in the technology sector.",hard_7,normal,lognormal,,,4.313120711007805,0.538294330167139
"The probability that a venture-backed company is based in the US given that it has raised at most 1 million USD, employs no more than 4 people, and is not a technology company.",hard_8,beta,beta,3.4817058096059674,2.3888163503116013,,
"The average total raised in millions USD for venture-backed companies that have at most 8 employees, operate in the technology sector, and are based in the United States.",hard_9,normal,lognormal,,,0.9129880602358993,0.6333091446875568
"The probability that a venture-backed company is based in the US, given it has between 18 and 45 employees, has raised at most $2 million USD, and is a technology company.",hard_10,beta,beta,6.004276692316048,3.079390874714511,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,normal,lognormal,,,0.12358922254772081,1.019076190625617
"The probability that a venture-backed company is based in the US given that it has raised between 4 and 14 million USD, is not a technology company, and employs between 11 and 20 people.",hard_12,beta,beta,5.590561865666334,4.042920155810148,,
"The average total raised in millions USD for venture-backed companies that are not technology companies, are based in the United States, and have between 15 and 38 employees.",hard_13,normal,lognormal,,,2.3456817359432605,0.7388388492095682
"The average number of employees for venture-backed companies that are technology firms, have raised over 13 million USD, and are headquartered outside the United States.",hard_14,normal,lognormal,,,4.773824886584076,0.8780928901392876
"The average total raised in millions USD for venture-backed companies that are not in the technology sector, have at most 7 employees, and are headquartered outside the United States.",hard_15,normal,lognormal,,,0.8966579471491317,0.731104592219795
"The average number of employees for venture-backed companies that are based in the United States, have raised no more than 2 million USD in total funding, and are not technology companies.",hard_16,normal,lognormal,,,2.337840926474341,0.6383338327946334
"The average total raised in millions USD for venture-backed companies with 18 to 45 employees, headquartered outside the US, and operating outside the technology sector.",hard_17,normal,lognormal,,,1.9590910056805397,0.6407671911872602
The average number of employees for venture-backed companies that are non-technology companies based in the US and have raised more than 2 million USD and at most 6 million USD.,hard_18,normal,lognormal,,,3.4629045537332175,0.8110934806659268
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 6 million USD but do not exceed 20 million USD.",hard_19,normal,lognormal,,,4.435979117847605,0.6865880730885685
