variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
"The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population, given they are currently taking insulin",easy_10,normal,lognormal,2.3,0.4,,
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given they take medication for depression",easy_11,beta,beta,,,2.5,3.75
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood cadmium level in ug/L is greater than 0.5425",easy_12,normal,lognormal,0.788,0.4,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is greater than 110.7",easy_13,normal,lognormal,0.92,0.4,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they are currently taking insulin",easy_14,beta,beta,,,1.5,8.5
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor",easy_15,normal,lognormal,0.4055,0.3,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have ever been diagnosed with diabetes by a doctor",easy_16,normal,lognormal,4.5,0.4,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5",easy_17,normal,lognormal,-0.51,0.4,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.55 and less than or equal to 0.92",easy_18,normal,lognormal,1.39,0.4,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their weight in kilograms is greater than 66.5 and less than or equal to 78.9",easy_19,normal,lognormal,0.405,0.4,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood manganese level in ug/L is greater than 7.48 and less than or equal to 9.38, and their waist circumference in centimeters is greater than 111.35",medium_0,normal,lognormal,0.915,0.3,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is less than or equal to 158.0, and they have ever had a heart attack that was confirmed by a doctor",medium_1,normal,lognormal,-0.69,0.4,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5, and their blood lead level in ug/dL is greater than 1.28",medium_2,beta,beta,,,1.5,28.5
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9, and their total cholesterol in mg/dL is greater than 153.0 and less than or equal to 176.0",medium_3,normal,gaussian,65.0,5.0,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given their blood mercury level in ug/L is greater than 0.68 and less than or equal to 1.46, and they have ever had a heart attack that was confirmed by a doctor",medium_4,beta,beta,,,24.0,6.0
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor, and they have not been diagnosed with diabetes by a doctor",medium_5,beta,beta,,,6.0,2.0
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they are currently taking insulin, and their blood lead level in ug/dL is greater than 0.65 and less than or equal to 0.91",medium_6,normal,lognormal,0.41,0.4,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin, and they have ever had a heart attack that was confirmed by a doctor",medium_7,beta,beta,,,6.125,1.125
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9, and they have ever been diagnosed with diabetes by a doctor",medium_8,normal,gaussian,70.0,10.0,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and their waist circumference in centimeters is greater than 99.8 and less than or equal to 111.75",medium_9,normal,lognormal,0.92,0.5,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their blood lead level in ug/dL is less than or equal to 0.55, and their waist circumference in centimeters is greater than 112.625",medium_10,beta,beta,,,0.5,9.5
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have ever been diagnosed with diabetes by a doctor, and their blood mercury level in ug/L is greater than 0.35 and less than or equal to 0.69",medium_11,normal,lognormal,4.52,0.4,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have serious difficulty concentrating, and their waist circumference in centimeters is less than or equal to 89.5",medium_12,normal,lognormal,4.01,0.25,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor, and their total cholesterol in mg/dL is greater than 139.0 and less than or equal to 164.0",medium_13,normal,lognormal,1.25,0.5,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5, and their blood lead level in ug/dL is less than or equal to 0.5",medium_14,normal,lognormal,-1.05,0.3,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they do not have health insurance, and they have serious difficulty concentrating",medium_15,normal,lognormal,4.6,0.2,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given they have not been diagnosed with diabetes by a doctor, and they do not have health insurance",medium_16,beta,beta,,,1.0,9.0
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor, and they have ever been diagnosed with cancer by a doctor",medium_17,beta,beta,,,1.5,8.5
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given that they do not take medication for depression, and they have ever had a heart attack that was confirmed by a doctor",medium_18,beta,beta,,,4.5,5.5
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with diabetes by a doctor, and they do not have health insurance",medium_19,normal,lognormal,0.405,0.5,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they do not have serious difficulty concentrating, and they have not been diagnosed with cancer by a doctor, and they are currently taking insulin",hard_0,beta,beta,,,10.0,2.0
"The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is greater than 98.9 and less than or equal to 110.7, and they have serious difficulty concentrating, and their blood mercury level in ug/L is greater than 0.51 and less than or equal to 1.24",hard_1,normal,lognormal,2.48,0.4,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35, and their weight in kilograms is greater than 79.3 and less than or equal to 97.25, and their total cholesterol in mg/dL is greater than 205.75",hard_2,normal,lognormal,4.55,0.25,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they take medication for depression, and their blood lead level in ug/dL is greater than 0.56 and less than or equal to 0.91, and their weight in kilograms is greater than 73.85 and less than or equal to 84.0",hard_3,beta,beta,,,2.33,1.14
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have not been diagnosed with cancer by a doctor, and their total cholesterol in mg/dL is greater than 185.0 and less than or equal to 213.0, and their blood manganese level in ug/L is greater than 11.7225",hard_4,normal,lognormal,,,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they do not have serious difficulty concentrating, and their waist circumference in centimeters is greater than 110.3, and their total cholesterol in mg/dL is less than or equal to 155.0",hard_5,normal,lognormal,4.5,0.2,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their blood mercury level in ug/L is less than or equal to 0.35, and they are currently taking insulin, and that they do not take medication for depression",hard_6,beta,beta,,,1.0,19.0
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have not been diagnosed with cancer by a doctor, and their total cholesterol in mg/dL is greater than 213.0, and their blood manganese level in ug/L is greater than 11.64",hard_7,normal,lognormal,0.693,0.5,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with diabetes by a doctor, and their blood lead level in ug/dL is greater than 0.67 and less than or equal to 1.01, and their total cholesterol in mg/dL is less than or equal to 148.0",hard_8,beta,beta,,,6.8,1.2
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their blood cadmium level in ug/L is greater than 0.5425, and their total cholesterol in mg/dL is greater than 161.0 and less than or equal to 185.0, and they do not have serious difficulty concentrating",hard_9,beta,beta,,,3.0,17.0
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given their total cholesterol in mg/dL is greater than 212.0, and their weight in kilograms is greater than 66.825 and less than or equal to 78.75, and they take medication for depression",hard_10,beta,beta,,,2.4,3.6
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood mercury level in ug/L is greater than 1.46, and their waist circumference in centimeters is less than or equal to 85.7, and their total cholesterol in mg/dL is greater than 215.0",hard_11,normal,gaussian,75.0,5.0,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with diabetes by a doctor, and they have not been diagnosed with cancer by a doctor, and they do not have health insurance",hard_12,normal,lognormal,0.182,0.4,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their blood cadmium level in ug/L is greater than 0.31 and less than or equal to 0.5425, and their blood lead level in ug/dL is less than or equal to 0.68, and their waist circumference in centimeters is greater than 99.85 and less than or equal to 113.47500000000001",hard_13,beta,beta,,,5.0,60.0
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is less than or equal to 158.0, and they have health insurance, and their weight in kilograms is greater than 65.3 and less than or equal to 79.5",hard_14,normal,lognormal,0.0,0.4,,
"The probability that the average adult (over 18) in the US population is currently taking insulin, given they have ever been diagnosed with diabetes by a doctor, and they have serious difficulty concentrating, and they have not been diagnosed with cancer by a doctor",hard_15,beta,beta,,,2.4,3.6
"The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population, given they have serious difficulty concentrating, and their blood mercury level in ug/L is greater than 0.54 and less than or equal to 1.1, and their waist circumference in centimeters is greater than 93.075 and less than or equal to 101.0",hard_16,normal,lognormal,5.4,0.4,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their waist circumference in centimeters is less than or equal to 87.9, and their blood lead level in ug/dL is greater than 0.49 and less than or equal to 0.82, and their weight in kilograms is greater than 68.2",hard_17,beta,beta,,,0.5,5.0
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their blood manganese level in ug/L is greater than 7.48 and less than or equal to 9.38, and their blood cadmium level in ug/L is greater than 0.17 and less than or equal to 0.29, and they have not had a heart attack that was confirmed by a doctor",hard_18,beta,beta,,,2.0,18.0
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given they do not have health insurance, and their waist circumference in centimeters is less than or equal to 86.0, and they do not have serious difficulty concentrating",hard_19,beta,beta,,,2.0,18.0
