variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The average total raised in millions USD for venture-backed companies headquartered in the United States with 8 to 15 employees.,medium_10,normal,lognormal,,,2.303959239758249,0.4277621721430166
The average total raised in millions USD for venture-backed companies whose headquarters are in the United States and that operate in the technology sector.,medium_11,normal,lognormal,,,3.403839273357987,0.5207828025632536
"The probability that a venture-backed company is based in the US, given that it is a technology company and has raised over 13 million USD.",medium_12,beta,beta,7.371134534644499,2.585798854165698,,
The average total raised in millions USD for venture-backed companies that are not technology companies and have between 8 and 16 employees.,medium_13,normal,lognormal,,,1.2049899913446214,0.7824970943241796
The probability that a venture-backed company is a technology company given it has between 18 and 45 employees and has raised between 6 and 15 million USD.,medium_14,beta,beta,7.933284331312398,3.5210999054184957,,
The average total raised in millions USD for venture-backed companies based in the US with at most 7 employees.,medium_15,normal,lognormal,,,1.9945208321856567,0.7493322807387595
"The probability that a venture-backed company is based in the US, given it has raised between 4 million and 14 million USD and is a technology company.",medium_16,beta,beta,4.558283336093054,2.4935002886628066,,
The average total raised in millions USD for venture-backed companies that are headquartered in the US and have more than 42 employees.,medium_17,normal,lognormal,,,4.102145001015388,0.7279376118435841
The average total raised in millions USD for venture-backed companies that are not based in the US and have more than 49 employees.,medium_18,normal,lognormal,,,3.8531587904590006,0.7100848705570941
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are headquartered in the United States.,medium_19,normal,lognormal,,,3.708791238916651,0.5563957213861734
"The probability that a venture-backed company is a technology company, given that it has raised between 4 and 14 million USD, is headquartered outside the US, and employs more than 52 people.",hard_0,beta,beta,8.020252621452096,2.8256327651367896,,
"The average total raised in millions USD for venture-backed companies that are based outside the US, have between 9 and 19 employees inclusive, and are not technology companies.",hard_1,normal,lognormal,,,1.6445275290558694,0.8291469573223302
The average number of employees for venture-backed companies that are US-based technology companies and have raised between 6 million and 19 million USD.,hard_2,normal,lognormal,,,4.250814110574781,0.6365054120524437
"The average total raised in millions USD for venture-backed companies that are non-technology companies, are based in the United States, and have at most 7 employees.",hard_3,normal,lognormal,,,0.9084148889533764,0.711778129241423
"The average number of employees for venture-backed companies that have raised between 4 and 14 million USD, are technology companies, and are headquartered outside the United States.",hard_4,normal,lognormal,,,4.089926317109696,0.677135785905893
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 1 million USD but no more than 4 million USD.",hard_5,normal,lognormal,,,3.403839273357987,0.5207828025632536
"The average number of employees for venture-backed companies that have raised at most 1 million USD, are based in the US, and operate as technology companies.",hard_6,normal,lognormal,,,2.0670896973517965,0.5691634086850981
"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 42 employees, and operate in the technology sector.",hard_7,normal,lognormal,,,3.6765276174955965,0.5691633971079949
"The probability that a venture-backed company is based in the US given that it has raised at most 1 million USD, employs no more than 4 people, and is not a technology company.",hard_8,beta,beta,8.183465327879079,2.176938728739122,,
"The average total raised in millions USD for venture-backed companies that have at most 8 employees, operate in the technology sector, and are based in the United States.",hard_9,normal,lognormal,,,1.1012542172105306,0.5207828084663032
"The probability that a venture-backed company is based in the US, given it has between 18 and 45 employees, has raised at most $2 million USD, and is a technology company.",hard_10,beta,beta,3.9450926048605632,1.7768278755757585,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,normal,lognormal,,,1.2659438207886804,0.6407671772929112
"The probability that a venture-backed company is based in the US given that it has raised between 4 and 14 million USD, is not a technology company, and employs between 11 and 20 people.",hard_12,beta,beta,8.284348595849359,5.534234869727746,,
"The average total raised in millions USD for venture-backed companies that are not technology companies, are based in the United States, and have between 15 and 38 employees.",hard_13,normal,lognormal,,,2.3148707079240567,0.8362322278909445
"The average number of employees for venture-backed companies that are technology firms, have raised over 13 million USD, and are headquartered outside the United States.",hard_14,normal,lognormal,,,4.613521868780122,1.082130697369745
"The average total raised in millions USD for venture-backed companies that are not in the technology sector, have at most 7 employees, and are headquartered outside the United States.",hard_15,normal,lognormal,,,0.17221069214119855,0.5682273754517204
"The average number of employees for venture-backed companies that are based in the United States, have raised no more than 2 million USD in total funding, and are not technology companies.",hard_16,normal,lognormal,,,3.2113491851680873,0.9614123258608425
"The average total raised in millions USD for venture-backed companies with 18 to 45 employees, headquartered outside the US, and operating outside the technology sector.",hard_17,normal,lognormal,,,2.03412121921152,0.7184692712590043
The average number of employees for venture-backed companies that are non-technology companies based in the US and have raised more than 2 million USD and at most 6 million USD.,hard_18,normal,lognormal,,,3.4167439104476895,0.9702495460662962
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 6 million USD but do not exceed 20 million USD.",hard_19,normal,lognormal,,,4.129914655457215,0.8453581092958266
