variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,a,b,mean,std,mu,sigma
"The average total raised in millions USD for venture-backed companies that are based outside the US, operate in the technology sector, and have at most 9 employees.",hard_5,2.047198489966223,normal,lognormal,,,2.259175672349701,1.2040058735963137,0.69,0.5
"The probability that a venture-backed company is a technology company, given it has raised more than 1 million USD and up to 4 million USD, employs between 13 and 25 people, and is based in the US.",hard_6,0.541757443718228,beta,beta,6.5,3.5,0.65,0.14381174563233068,,
"The probability that a venture-backed company is a technology company with between 18 and 45 employees, having raised more than 15 million USD, and headquartered outside the US.",hard_7,0.4179640718562874,beta,beta,1.5,8.5,0.15,0.10766108438479101,,
"The average total raised in millions USD for venture-backed companies that operate in the technology sector, employ more than 46 individuals, and are headquartered outside the United States.",hard_8,58.89021290185224,normal,lognormal,,,17.03040030039619,9.076187497206496,2.71,0.5
"The average total raised in millions USD for venture-backed companies that are headquartered outside the US, have at least 50 employees, and are not in the technology sector.",hard_9,72.61639411138701,normal,lognormal,,,17.03040030039619,9.076187497206496,2.71,0.5
"The average total raised in millions USD for venture-backed companies that are not based in the US, are technology companies, and have between 20 and 46 employees.",hard_10,8.60061642343716,normal,lognormal,,,4.504153630288483,2.400445212304877,1.38,0.5
"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the United States.",hard_11,168.64252288911496,normal,lognormal,,,64.71545210740304,26.956986085865715,4.09,0.4
"The probability that a venture-backed company is based in the US, given that it operates in the technology sector, employs at most eight people, and has raised over 3 million USD.",hard_12,0.6628516928946113,beta,beta,4.9,2.1,0.7000000000000001,0.16201851746019652,,
"The probability that a venture-backed company is based in the US when it is a technology company, has raised at most 2 million USD in total, and has between nine and fourteen employees.",hard_13,0.3167239404352806,beta,beta,6.0,4.0,0.6,0.14770978917519928,,
"The probability that a venture-backed company is based in the US, has more than 45 employees, is not a technology company, and has raised between 6 and 19 million USD.",hard_14,0.2626788036410923,beta,beta,4.0,6.0,0.4,0.14770978917519928,,
"The average total raised in millions USD for venture-backed companies operating in the technology sector, based in the United States, and having eight or fewer employees.",hard_15,3.0854064320081034,normal,lognormal,,,2.259175672349701,1.2040058735963137,0.69,0.5
"The probability that a venture-backed company is based in the US, assuming it is a technology company, has more than 46 employees, and has raised at most 8 million USD.",hard_16,0.2613690761129727,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
"The probability that a venture-backed company is based in the US, given that it has between 9 and 17 employees, is a technology company, and has raised between 3 and 6 million USD.",hard_17,0.5226003047232097,beta,beta,14.0,6.0,0.7,0.1,,
"The probability that a venture-backed company is based in the US, given that it is a technology company, has raised between 2 and 4 million USD, and has at most 7 employees.",hard_18,0.5169846440204746,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
"The probability that a venture-backed company is a technology company, given that it employs more than 45 people, has raised more than 63 million USD, and is based in the US.",hard_19,0.5303334672559261,beta,beta,10.4,2.6,0.8,0.10690449676496976,,
