variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,1.1442541151070527,0.8220048921444033
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,lognormal,,,3.2292203679599516,0.5386463201731043
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,4.638771576857859,0.9583329273451099
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,2.322604996275331,0.96730066037135
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,8.819473790254325,3.855773148103213,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,lognormal,,,4.376744671438249,0.8129725675461507
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,1.7015478187833961,0.7909842816424907
The average number of employees for venture-backed companies that have raised over 1 million USD but no more than 4 million USD and are not technology companies.,medium_8,normal,lognormal,,,3.5685289230596133,0.6407671721402398
The probability that a venture-backed company is based in the US when it has raised over 14 million USD in total funding and employs at most 28 people.,medium_9,beta,beta,14.941572887520296,4.242582086192155,,
The average total raised in millions USD for venture-backed companies headquartered in the United States with 8 to 15 employees.,medium_10,normal,lognormal,,,1.8338751413737764,0.8475766077572402
The average total raised in millions USD for venture-backed companies whose headquarters are in the United States and that operate in the technology sector.,medium_11,normal,lognormal,,,2.8506810179078896,1.071536299689315
"The probability that a venture-backed company is based in the US, given that it is a technology company and has raised over 13 million USD.",medium_12,beta,beta,14.941572887520296,4.242582086192155,,
The average total raised in millions USD for venture-backed companies that are not technology companies and have between 8 and 16 employees.,medium_13,normal,lognormal,,,1.1442541151070527,0.8220048921444033
The probability that a venture-backed company is a technology company given it has between 18 and 45 employees and has raised between 6 and 15 million USD.,medium_14,beta,beta,3.7750183917777553,2.5573012820394885,,
The average total raised in millions USD for venture-backed companies based in the US with at most 7 employees.,medium_15,normal,lognormal,,,1.1141588416094694,0.9702495204547342
"The probability that a venture-backed company is based in the US, given it has raised between 4 million and 14 million USD and is a technology company.",medium_16,beta,beta,14.941572887520296,4.242582086192155,,
The average total raised in millions USD for venture-backed companies that are headquartered in the US and have more than 42 employees.,medium_17,normal,lognormal,,,2.315904869537824,0.9717165577150453
The average total raised in millions USD for venture-backed companies that are not based in the US and have more than 49 employees.,medium_18,normal,lognormal,,,2.322604996275331,0.96730066037135
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are headquartered in the United States.,medium_19,normal,lognormal,,,3.4468392000672226,0.8220048891628132
"The probability that a venture-backed company is a technology company, given that it has raised between 4 and 14 million USD, is headquartered outside the US, and employs more than 52 people.",hard_0,beta,beta,3.7750183917777553,2.5573012820394885,,
"The average total raised in millions USD for venture-backed companies that are based outside the US, have between 9 and 19 employees inclusive, and are not technology companies.",hard_1,normal,lognormal,,,1.1442541151070527,0.8220048921444033
The average number of employees for venture-backed companies that are US-based technology companies and have raised between 6 million and 19 million USD.,hard_2,normal,lognormal,,,3.882137168114467,0.690811007211413
"The average total raised in millions USD for venture-backed companies that are non-technology companies, are based in the United States, and have at most 7 employees.",hard_3,normal,lognormal,,,0.5196677978124695,0.7762597465440911
"The average number of employees for venture-backed companies that have raised between 4 and 14 million USD, are technology companies, and are headquartered outside the United States.",hard_4,normal,lognormal,,,3.9629881025723237,0.8183945082895431
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 1 million USD but no more than 4 million USD.",hard_5,normal,lognormal,,,3.5631866954021256,0.7465930329830079
"The average number of employees for venture-backed companies that have raised at most 1 million USD, are based in the US, and operate as technology companies.",hard_6,normal,lognormal,,,2.9923125903706005,0.6811133386728649
"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 42 employees, and operate in the technology sector.",hard_7,normal,lognormal,,,2.8506810179078896,1.071536299689315
"The probability that a venture-backed company is based in the US given that it has raised at most 1 million USD, employs no more than 4 people, and is not a technology company.",hard_8,beta,beta,8.13830075311288,4.493017646543802,,
"The average total raised in millions USD for venture-backed companies that have at most 8 employees, operate in the technology sector, and are based in the United States.",hard_9,normal,lognormal,,,0.7199273713462877,0.9628396757750054
"The probability that a venture-backed company is based in the US, given it has between 18 and 45 employees, has raised at most $2 million USD, and is a technology company.",hard_10,beta,beta,14.941572887520296,4.242582086192155,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,normal,lognormal,,,1.1442541151070527,0.8220048921444033
"The probability that a venture-backed company is based in the US given that it has raised between 4 and 14 million USD, is not a technology company, and employs between 11 and 20 people.",hard_12,beta,beta,4.146309816125009,2.3170213620648634,,
"The average total raised in millions USD for venture-backed companies that are not technology companies, are based in the United States, and have between 15 and 38 employees.",hard_13,normal,lognormal,,,1.225316760447648,0.659415445952719
"The average number of employees for venture-backed companies that are technology firms, have raised over 13 million USD, and are headquartered outside the United States.",hard_14,normal,lognormal,,,4.672296619004063,0.807402193047303
"The average total raised in millions USD for venture-backed companies that are not in the technology sector, have at most 7 employees, and are headquartered outside the United States.",hard_15,normal,lognormal,,,0.9422937750491651,0.8346802872072714
"The average number of employees for venture-backed companies that are based in the United States, have raised no more than 2 million USD in total funding, and are not technology companies.",hard_16,normal,lognormal,,,2.743280501335082,0.5845588172723021
"The average total raised in millions USD for venture-backed companies with 18 to 45 employees, headquartered outside the US, and operating outside the technology sector.",hard_17,normal,lognormal,,,1.60063978869405,0.6758800440943415
The average number of employees for venture-backed companies that are non-technology companies based in the US and have raised more than 2 million USD and at most 6 million USD.,hard_18,normal,lognormal,,,3.233221863168014,0.6205302042924467
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 6 million USD but do not exceed 20 million USD.",hard_19,normal,lognormal,,,3.953273526987689,0.6412042709454849
