,variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,temperature,variables_file,sysprompt_type,elicitation_protocol,model,convo_file_path,quartile_of_gt,ground_truth_percentile,approach,dataset,trial,a,b,difficulty,abs_error,ground_truth_log_prob,error_ratio,std_ratio
10,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,120000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,mean-variance,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-mean-variance-TEMP-0.5/elicited_priors.json,3,71.51762683840273,gpt-4o_base_mean-variance_temp0.5,glassdoor,4,,,,5685.707740916274,5.993024565442809,0.9112916535099413,0.7554478698746623
11,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,130000.0,10000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,base,mean-variance,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-mean-variance-TEMP-medium/elicited_priors.json,2,33.30781515736321,o4-mini_base_mean-variance_tempmedium,glassdoor,4,,,,4314.292259083726,6.619415018365618,0.8825142753303602,0.7890233307579806
12,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,114000.44476129832,14898.3975353412,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,quantile,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-quantile-TEMP-0.5/elicited_priors.json,4,78.35768055889541,gpt-4o_base_quantile_temp0.5,glassdoor,4,,,,11685.262979617954,1.017957176325905,1.0504496118753512,1.3434419007187977
13,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,115000.68560887946,9080.366928749325,medium,~/openestimate/data/variables/glassdoor_variables.json,base,quantile,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-quantile-TEMP-medium/elicited_priors.json,4,88.03457598967476,o4-mini_base_quantile_tempmedium,glassdoor,4,,,,10685.022132036815,2.026405477704269,0.7433863103165627,0.6714945668363601
14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,140000.0,10000.0,1.0,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp1.0_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-1.0/elicited_priors.json,2,45.9197945198146,gpt-4o_base_direct_temp1.0,glassdoor,4,,,,1024.5454545454413,17.47256441998387,0.5379284961512174,1.076365825763576
15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,125000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.5/elicited_priors.json,4,91.88751960881609,gpt-4o_base_direct_temp0.5,glassdoor,4,,,,13975.454545454559,9.562930775084414,0.9480282663687678,0.8610926606108608
16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,125000.0,10000.0,0.2,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.2_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.2/elicited_priors.json,4,91.88751960881609,gpt-4o_base_direct_temp0.2,glassdoor,4,,,,13975.454545454559,9.562930775084414,1.0271925488409186,0.8610926606108608
17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,125000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,superforecaster,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_superforecaster_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.5/elicited_priors.json,4,91.88751960881609,gpt-4o_superforecaster_direct_temp0.5,glassdoor,4,,,,13975.454545454559,9.562930775084414,0.8688639838966169,0.8610926606108608
18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,125000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,conservative,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_conservative_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.5/elicited_priors.json,4,91.88751960881609,gpt-4o_conservative_direct_temp0.5,glassdoor,4,,,,13975.454545454559,9.562930775084414,0.9804712286764452,0.8610926606108608
19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,160000.0,20000.0,low,~/openestimate/data/variables/glassdoor_variables.json,base,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_templow_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-low/elicited_priors.json,1,14.657711006709723,o4-mini_base_direct_templow,glassdoor,4,,,,21024.54545454544,7.371434699364517,1.031078795435004,1.4638575230384634
20,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,150000.0,20000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,superforecaster,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_superforecaster_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-medium/elicited_priors.json,2,29.073894327064625,o4-mini_superforecaster_direct_tempmedium,glassdoor,4,,,,11024.545454545441,10.633709776781398,0.7144216655464004,1.6360760551606355
21,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,150000.0,15000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,base,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-medium/elicited_priors.json,1,23.117897474212224,o4-mini_base_direct_tempmedium,glassdoor,4,,,,11024.545454545441,12.01412468119774,0.2861572908779687,1.5499667890995494
22,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,135000.0,20000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,conservative,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_conservative_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-medium/elicited_priors.json,3,57.877973462247965,o4-mini_conservative_direct_tempmedium,glassdoor,4,,,,3975.4545454545587,11.709999599934376,0.37959993120691565,1.5499667890995494
23,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,130000.0,15000.0,high,~/openestimate/data/variables/glassdoor_variables.json,base,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_temphigh_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-high/elicited_priors.json,3,72.52013381016612,o4-mini_base_direct_temphigh,glassdoor,4,,,,8975.454545454559,12.755731234225346,0.4912071759867439,1.4638575230384634
24,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,125000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,mean-variance,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-mean-variance-TEMP-0.5/elicited_priors.json,4,91.88751960881609,gpt-4o_base_mean-variance_temp0.5,glassdoor,4,,,,13975.454545454559,9.562930775084414,1.1063568313130694,0.8610926606108608
25,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,135000.0,15000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,base,mean-variance,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-mean-variance-TEMP-medium/elicited_priors.json,3,60.45069410908944,o4-mini_base_mean-variance_tempmedium,glassdoor,4,,,,3975.4545454545587,13.927528811247498,0.9661928708196491,0.9988674863085986
26,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,132000.18338558116,20143.23205434034,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,quantile,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-quantile-TEMP-0.5/elicited_priors.json,3,63.54352084356422,gpt-4o_base_quantile_temp0.5,glassdoor,4,,,,6975.271159873402,11.324525557284536,0.5538232522658776,1.5539027161503318
27,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,150399.98653386364,4936.65433594919,medium,~/openestimate/data/variables/glassdoor_variables.json,base,quantile,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-quantile-TEMP-medium/elicited_priors.json,1,1.0327674400809763,o4-mini_base_quantile_tempmedium,glassdoor,4,,,,11424.531988409086,1.4575505909202646,1.0231886875049983,0.7910474032500857
28,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,130000.0,10000.0,1.0,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp1.0_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-1.0/elicited_priors.json,1,1.5798321018314114,gpt-4o_base_direct_temp1.0,glassdoor,4,,,,21494.765625,-14.197301959188668,1.0374405340245865,0.9126108188826638
29,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,120000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.5/elicited_priors.json,1,12.517976284809256,gpt-4o_base_direct_temp0.5,glassdoor,4,,,,11494.765625,0.9453671235817978,1.1911950434178664,0.9126108188826638
30,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,120000.0,10000.0,0.2,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.2_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.2/elicited_priors.json,1,12.517976284809256,gpt-4o_base_direct_temp0.2,glassdoor,4,,,,11494.765625,0.9453671235817978,1.1911950434178664,0.9955754387810878
31,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,120000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,superforecaster,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_superforecaster_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.5/elicited_priors.json,1,12.517976284809256,gpt-4o_superforecaster_direct_temp0.5,glassdoor,4,,,,11494.765625,0.9453671235817978,1.1911950434178664,0.9955754387810878
32,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,125000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,conservative,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_conservative_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-0.5/elicited_priors.json,1,4.952502045018376,gpt-4o_conservative_direct_temp0.5,glassdoor,4,,,,16494.765625,-5.47843147920393,1.1143177887212263,0.9126108188826638
33,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,130000.0,25000.0,low,~/openestimate/data/variables/glassdoor_variables.json,base,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_templow_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-low/elicited_priors.json,1,19.495223401768097,o4-mini_base_direct_templow,glassdoor,4,,,,21494.765625,-4.794722463047546,2.113722099777546,1.5763277780700558
34,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,140000.0,20000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,superforecaster,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_superforecaster_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-medium/elicited_priors.json,1,5.7658433862959,o4-mini_superforecaster_direct_tempmedium,glassdoor,4,,,,31494.765625,-10.735624495897095,2.1905993544741857,1.3274339183747836
35,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,140000.0,15000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,base,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-medium/elicited_priors.json,1,1.7879774629991387,o4-mini_base_direct_tempmedium,glassdoor,4,,,,31494.765625,-16.947785959965966,1.729335826294346,1.1615046785779357
36,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,150000.0,20000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,conservative,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_conservative_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-medium/elicited_priors.json,1,1.9005398710792705,o4-mini_conservative_direct_tempmedium,glassdoor,4,,,,41494.765625,-19.11143552098771,2.498108373260745,1.2444692984763597
37,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,125000.0,20000.0,high,~/openestimate/data/variables/glassdoor_variables.json,base,direct,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_temphigh_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-high/elicited_priors.json,1,20.476009656715533,o4-mini_base_direct_temphigh,glassdoor,4,,,,16494.765625,-2.475167728009312,1.652458571597706,1.4103985382732076
38,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,135000.0,10000.0,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,mean-variance,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-mean-variance-TEMP-0.5/elicited_priors.json,1,0.4030828184018816,gpt-4o_base_mean-variance_temp0.5,glassdoor,4,,,,26494.765625,-25.21124431637238,1.2680722981145063,0.9955754387810878
39,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,130000.0,8000.0,medium,~/openestimate/data/variables/glassdoor_variables.json,base,mean-variance,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-mean-variance-TEMP-medium/elicited_priors.json,1,0.3606513199608932,o4-mini_base_mean-variance_tempmedium,glassdoor,4,,,,21494.765625,-24.07806026336651,2.0368448450809056,0.8296461989842399
40,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,120996.29948187697,17169.218598820746,0.5,~/openestimate/data/variables/glassdoor_variables.json,base,quantile,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp0.5_experts-VARIABLES-glassdoor_variables-PROTOCOL-quantile-TEMP-0.5/elicited_priors.json,1,23.345167979351206,gpt-4o_base_quantile_temp0.5,glassdoor,4,,,,12491.065106876966,-0.3814822633689707,1.4370947075669434,1.53957691997943
41,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,139999.9999999996,9080.2054787466,medium,~/openestimate/data/variables/glassdoor_variables.json,base,quantile,o4-mini,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_o4-mini_base_tempmedium_experts-VARIABLES-glassdoor_variables-PROTOCOL-quantile-TEMP-medium/elicited_priors.json,1,0.026167844211751366,o4-mini_base_quantile_tempmedium,glassdoor,4,,,,31494.765624999593,-47.32584712059979,2.7441145895924905,0.7862405611509746
42,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",double_10,135604.4896373057,normal,140000.0,10000.0,1.0,~/openestimate/data/variables/glassdoor_variables.json,base,direct,gpt-4o,/Users/marzoev/openestimate/experiments/glassdoor/ablations/glassdoor/ablations/trial_4_results/EXPERTS-glassdoor_gpt-4o_base_temp1.0_experts-VARIABLES-glassdoor_variables-PROTOCOL-direct-TEMP-1.0/elicited_priors.json,2,33.01311551428572,gpt-4o_base_direct_temp1.0,glassdoor,4,,,,4395.510362694302,7.736658708805698,0.8899990617197343,0.7006827394071145
