variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma,temperature,variables_file,sysprompt_type,elicitation_protocol,model,convo_file_path,approach,dataset,trial,ground_truth,difficulty,sample_size,mean,median,mode,abs_error_from_mean,abs_error_from_median,abs_error_from_mode,quartile_of_gt,std,error_ratio_mean,error_ratio_median,error_ratio_mode,std_ratio,associated_baseline_error_mean,associated_baseline_error_median,associated_baseline_error_mode,associated_baseline_std
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.15193104383924821,0.5352180446564436,,,,,,,statistical_baseline_n5,,10,1.8087325703027983,hard,5,0.9913358854785169,0.8590475153173652,0.6450745424557986,0.8173966848242814,0.9496850549854331,1.1636580278469997,4.0,0.5709463966048568,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-2.0045822632259522,0.6054065947413628,,,,,,,statistical_baseline_n5,,11,1.8087325703027983,hard,5,0.1618114208311485,0.1347165600040392,0.0933780092770043,1.6469211494716498,1.6740160102987591,1.715354561025794,4.0,0.10766250719595585,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-1.9636067202614862,0.38851371093857096,,,,,,,statistical_baseline_n5,,12,1.8087325703027983,hard,5,0.15135378002049868,0.14035129907336782,0.12068763214620577,1.6573787902822996,1.6683812712294306,1.6880449381565925,4.0,0.06109337858571407,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.6762647721663726,0.821387528957458,,,,,,,statistical_baseline_n5,,13,1.8087325703027983,hard,5,0.7125351492303864,0.5085128608024884,0.2589961078780961,1.096197421072412,1.3002197095003099,1.5497364624247023,4.0,0.6993740744001776,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.8027813664319857,0.6697050699001393,,,,,,,statistical_baseline_n5,,14,1.8087325703027983,hard,5,0.5607226245587462,0.4480809520135446,0.286136517800975,1.248009945744052,1.3606516182892539,1.5225960525018234,4.0,0.4218367858261277,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.13740790558864352,0.7422796894480622,,,,,,,statistical_baseline_n5,,15,1.8087325703027983,hard,5,1.1480693013384466,0.8716146171361185,0.5023857425285985,0.6606632689643517,0.9371179531666798,1.3063468277741999,4.0,0.9842315438270834,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,0.010567181796423504,0.5587725794765092,,,,,,,statistical_baseline_n5,,16,1.8087325703027983,hard,5,1.1813768491495593,1.0106232116472729,0.7395897682156604,0.627355721153239,0.7981093586555255,1.0691428020871379,4.0,0.7151620328177744,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.7595673238062919,0.5365563161040361,,,,,,,statistical_baseline_n5,,17,1.8087325703027983,hard,5,0.5403052703828072,0.4678688189213964,0.3508277193208977,1.268427299919991,1.340863751381402,1.4579048509819006,4.0,0.3120767757983231,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.6252447983712194,0.6933027045245572,,,,,,,statistical_baseline_n5,,18,1.8087325703027983,hard,5,0.6805115540149222,0.5351304134299067,0.3309084796138254,1.128221016287876,1.2736021568728915,1.4778240906889728,4.0,0.5346046688865645,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.7855099340893478,0.7103340595197092,,,,,,,statistical_baseline_n5,,19,1.8087325703027983,hard,5,0.5867111280549052,0.45588717009383267,0.27524754840768084,1.2220214422478932,1.3528454002089656,1.5334850218951175,4.0,0.47530141068828924,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,0.007615440422720053,0.7005329638344355,,,,,,,statistical_baseline_n5,,20,1.8087325703027983,hard,5,1.287868668627535,1.0076445116389845,0.6168490151804692,0.5208639016752634,0.8010880586638138,1.1918835551223292,4.0,1.0250780051071877,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-1.002045516772318,0.8605193637220995,,,,,,,statistical_baseline_n5,,21,1.8087325703027983,hard,5,0.5316346736993839,0.3671277067091741,0.17507530346258396,1.2770978966034146,1.4416048635936243,1.6336572668402143,4.0,0.5568147451542795,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-1.5771980225499571,0.4292714342931402,,,,,,,statistical_baseline_n5,,22,1.8087325703027983,hard,5,0.22648851530497022,0.2065530451042882,0.17179180234316355,1.582244054997828,1.60217952519851,1.6369407679596348,4.0,0.10188086278408474,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.9083265351854972,0.5479275575931755,,,,,,,statistical_baseline_n5,,23,1.8087325703027983,hard,5,0.4685023173487683,0.40319839810550084,0.2986296376167552,1.34023025295403,1.4055341721972976,1.5101029326860431,4.0,0.27723385872596173,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.719433173072871,0.9359846309186038,,,,,,,statistical_baseline_n5,,24,1.8087325703027983,hard,5,0.7547267178161892,0.48702823845525617,0.20280701799036216,1.0540058524866092,1.321704331847542,1.6059255523124363,4.0,0.8934628202646778,,,,,,,,
