approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode
o3-mini_base_direct_tempmedium,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,157156.90811606066,150241.60841162986,137310.49125269664
o4-mini_base_direct_tempmedium,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,151941.36973658123,150241.60841162986,146898.91850238777
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,170246.04615791026,162754.79141900392,148746.67943014178
gpt-4o_base_direct_temp0.5,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,146444.23697552108,140000.3217775679,127950.66002052599
meta-llama-3-70b_base_direct_temp0.5,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,162.38986205348914,149.90473614904667,127.7403898460288
meta-llama-3-8b_base_direct_temp0.5,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,6154.876663538549,5431.659591362978,4230.180743130794
o3-mini_base_direct_tempmedium,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,136625.65232051068,130613.77957221285,119372.00637718744
o4-mini_base_direct_tempmedium,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,127516.36649382106,124991.37326214142,120090.39141541165
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,146385.67099470805,139944.33284738957,127899.48999120602
gpt-4o_base_direct_temp0.5,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,130613.77957221285,120571.71498645052,102744.43805070806
meta-llama-3-70b_base_direct_temp0.5,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,103777.0368200868,95798.27906818989,81633.90850160981
meta-llama-3-8b_base_direct_temp0.5,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,749.9450971118819,735.0951892419727,706.2716945953657
o3-mini_base_direct_tempmedium,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,136625.65232051068,130613.77957221285,119372.00637718744
o4-mini_base_direct_tempmedium,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,146532.1298829419,140084.3471757332,128027.45345226408
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,136352.67408509797,130352.81306656305,119133.50094936283
gpt-4o_base_direct_temp0.5,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,115266.25590734494,110194.25038775145,100709.96186695219
meta-llama-3-70b_base_direct_temp0.5,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,70969.11064366704,65512.74612369082,55826.27970742336
meta-llama-3-8b_base_direct_temp0.5,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,753.7042125545613,665.1416330443618,518.012824668342
o3-mini_base_direct_tempmedium,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,136625.65232051068,130613.77957221285,119372.00637718744
o4-mini_base_direct_tempmedium,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,125492.34002075167,119970.36104918174,109644.65427109587
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,132886.41237383557,124991.37326214142,110580.60599201151
gpt-4o_base_direct_temp0.5,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,119372.00637718744,110194.25038775145,93901.34604770991
meta-llama-3-70b_base_direct_temp0.5,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,161943.04851031085,154817.14657623274,141492.21827072586
meta-llama-3-8b_base_direct_temp0.5,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,768.9300476319738,735.0951892419727,671.8264175910939
o3-mini_base_direct_tempmedium,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,112420.32190882784,110194.25038775145,105873.47202785847
o4-mini_base_direct_tempmedium,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",gaussian,,,,
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,113351.62591135221,109864.16301521249,103207.82987155975
gpt-4o_base_direct_temp0.5,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,128959.02535747403,124991.37326214142,117418.52878145066
meta-llama-3-70b_base_direct_temp0.5,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,70969.11064366704,65512.74612369082,55826.27970742336
meta-llama-3-8b_base_direct_temp0.5,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,558.3578136649854,492.7490410932563,383.7533390611119
o3-mini_base_direct_tempmedium,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,146532.1298829419,140084.3471757332,128027.45345226408
o4-mini_base_direct_tempmedium,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,127516.36649382106,124991.37326214142,120090.39141541165
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,126121.3729928006,120571.71498645052,110194.25038775145
gpt-4o_base_direct_temp0.5,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775145
meta-llama-3-70b_base_direct_temp0.5,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,70969.11064366704,65512.74612369082,55826.27970742336
meta-llama-3-8b_base_direct_temp0.5,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,515.4292249268514,492.7490410932563,450.33871516762093
o3-mini_base_direct_tempmedium,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,115266.25590734494,110194.25038775145,100709.96186695219
o4-mini_base_direct_tempmedium,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775145
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775145
gpt-4o_base_direct_temp0.5,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,145801.2978362103,134591.56135699214,114691.36305762557
meta-llama-3-70b_base_direct_temp0.5,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,67846.29106328034,64860.883408211565,59278.38405100574
meta-llama-3-8b_base_direct_temp0.5,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,1346.1446890406685,1187.9685185090932,925.1908124790585
o3-mini_base_direct_tempmedium,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,134759.90600217157,130613.77957221285,122700.29071357667
o4-mini_base_direct_tempmedium,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,122393.92310586887,119970.36104918174,115266.25590734514
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,133252.3529455308,130613.77957221285,125492.34002075167
gpt-4o_base_direct_temp0.5,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,145801.2978362103,134591.56135699214,114691.36305762557
meta-llama-3-70b_base_direct_temp0.5,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,170246.04615791026,150241.60841162986,117008.28228088471
meta-llama-3-8b_base_direct_temp0.5,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,127.10328199373689,121.51041751873485,111.05215990569917
o3-mini_base_direct_tempmedium,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,157156.90811606066,150241.60841162986,137310.49125269664
o4-mini_base_direct_tempmedium,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,151637.79067736017,149941.4254778013,146605.41426745255
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,156905.65811667452,150001.41404490612,137090.97013042134
gpt-4o_base_direct_temp0.5,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,126121.3729928006,120571.71498645052,110194.25038775145
meta-llama-3-70b_base_direct_temp0.5,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,167711.41274037142,154817.14657623274,131926.46988040826
meta-llama-3-8b_base_direct_temp0.5,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,753.7042125545613,665.1416330443618,518.012824668342
o3-mini_base_direct_tempmedium,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,162754.79141900392,150241.60841162986,128027.45345226408
o4-mini_base_direct_tempmedium,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,136625.65232051068,130613.77957221285,119372.00637718744
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,132587.75406259106,129962.34062887417,124866.4443637393
gpt-4o_base_direct_temp0.5,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,94372.02850349997,90219.4216048275,82454.34292178466
meta-llama-3-70b_base_direct_temp0.5,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,93433.0111304619,89321.72336080558,81633.90850160981
meta-llama-3-8b_base_direct_temp0.5,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,83.51280722204119,73.69979369959579,57.39745704544619
o3-mini_base_direct_tempmedium,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,115266.25590734494,110194.25038775145,100709.96186695219
o4-mini_base_direct_tempmedium,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,112420.32190882784,110194.25038775145,105873.47202785847
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,94089.3366677619,89949.16892172713,82207.35056679603
gpt-4o_base_direct_temp0.5,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,126121.3729928006,120571.71498645052,110194.25038775145
meta-llama-3-70b_base_direct_temp0.5,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,129.99444801933345,119.99999990615451,102.2572545959755
meta-llama-3-8b_base_direct_temp0.5,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,137.6893416428586,121.51041751873485,94.63240831492406
o3-mini_base_direct_tempmedium,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,157156.90811606066,150241.60841162986,137310.49125269664
o4-mini_base_direct_tempmedium,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,137310.49125269664,134591.56135699214,129314.15075082007
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,153031.6436145214,150001.41404490612,144119.7744722609
gpt-4o_base_direct_temp0.5,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828567,108012.25803610642,99707.88100326109,84965.45150791103
meta-llama-3-70b_base_direct_temp0.5,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828567,68528.1576245074,65512.74612369082,59874.14171519782
meta-llama-3-8b_base_direct_temp0.5,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828567,558.3578136649854,492.7490410932563,383.7533390611119
o3-mini_base_direct_tempmedium,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828567,110746.6013664062,110194.25038775145,109097.79927650755
o4-mini_base_direct_tempmedium,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828567,115664.61125808678,114691.36305762557,112769.36564501066
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828567,136625.65232051068,120571.71498645052,93901.34604770991
gpt-4o_base_direct_temp0.5,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,156842.90840420686,149941.4254778013,137036.1447081845
meta-llama-3-70b_base_direct_temp0.5,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,159532.0306232254,147266.6252405527,125492.34002075167
meta-llama-3-8b_base_direct_temp0.5,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,1017.3942696239103,897.8472916504176,699.2441738158852
o3-mini_base_direct_tempmedium,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,184425.34012565826,176310.16074634227,161135.35418626538
o4-mini_base_direct_tempmedium,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,157156.90811606066,150241.60841162986,137310.49125269664
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,132091.4810782717,130613.77957221285,127707.78457122872
gpt-4o_base_direct_temp0.5,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136001,145801.2978362103,134591.56135699214,114691.36305762557
meta-llama-3-70b_base_direct_temp0.5,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136001,117594.78873654043,112420.32190882803,102744.43805070824
meta-llama-3-8b_base_direct_temp0.5,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136001,753.7042125545613,665.1416330443618,518.012824668342
o3-mini_base_direct_tempmedium,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136001,136625.65232051068,130613.77957221285,119372.00637718744
o4-mini_base_direct_tempmedium,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136001,122393.92310586887,119970.36104918174,115266.25590734514
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136001,121935.80540177358,120571.71498645052,117889.14349852424
gpt-4o_base_direct_temp0.5,double_8,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",lognormal,146088.4906966512,145801.2978362103,134591.56135699214,114691.36305762557
meta-llama-3-70b_base_direct_temp0.5,double_8,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",lognormal,146088.4906966512,91240.12076549686,88432.95736355477,83075.0753305505
meta-llama-3-8b_base_direct_temp0.5,double_8,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",lognormal,146088.4906966512,1037.9469972058562,992.2747156050262,906.8708069475726
