approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_0,The average number of employees for venture-backed companies that are headquartered in the United States.,gaussian,68.85502978160159,100.0,100.0,100.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_0,The average number of employees for venture-backed companies that are headquartered in the United States.,gaussian,68.85502978160159,80.0,80.0,80.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_0,The average number of employees for venture-backed companies that are headquartered in the United States.,gaussian,68.85502978160159,50.0,50.0,50.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_0,The average number of employees for venture-backed companies that are headquartered in the United States.,gaussian,68.85502978160159,200.0,200.0,200.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_1,The average number of employees for venture-backed companies headquartered outside the United States.,gaussian,113.45751908491242,200.0,200.0,200.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_1,The average number of employees for venture-backed companies headquartered outside the United States.,gaussian,113.45751908491242,30.0,30.0,30.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_1,The average number of employees for venture-backed companies headquartered outside the United States.,gaussian,113.45751908491242,125.0,125.0,125.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_1,The average number of employees for venture-backed companies headquartered outside the United States.,gaussian,113.45751908491242,50.0,50.0,50.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_1,The average number of employees for venture-backed companies headquartered outside the United States.,gaussian,113.45751908491242,120.0,120.0,120.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_1,The average number of employees for venture-backed companies headquartered outside the United States.,gaussian,113.45751908491242,150.0,150.0,150.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_10,The average number of employees for venture-backed companies that have raised more than 14 million USD.,gaussian,256.85115173467653,100.0,100.0,100.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_10,The average number of employees for venture-backed companies that have raised more than 14 million USD.,gaussian,256.85115173467653,50.0,50.0,50.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_10,The average number of employees for venture-backed companies that have raised more than 14 million USD.,gaussian,256.85115173467653,75.0,75.0,75.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_10,The average number of employees for venture-backed companies that have raised more than 14 million USD.,gaussian,256.85115173467653,100.0,100.0,100.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_10,The average number of employees for venture-backed companies that have raised more than 14 million USD.,gaussian,256.85115173467653,80.0,80.0,80.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_10,The average number of employees for venture-backed companies that have raised more than 14 million USD.,gaussian,256.85115173467653,100.0,100.0,100.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_11,The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,gaussian,23.81036704959372,12.0,12.0,12.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_11,The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,gaussian,23.81036704959372,10.0,10.0,10.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_11,The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,gaussian,23.81036704959372,10000.0,10000.0,10000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_11,The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,gaussian,23.81036704959372,10.0,10.0,10.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_11,The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,gaussian,23.81036704959372,5.0,5.0,5.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_11,The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,gaussian,23.81036704959372,5.0,5.0,5.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_12,The average total raised in millions USD for venture-backed companies with up to 8 employees.,gaussian,3.5290062040752512,2.0,2.0,2.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_12,The average total raised in millions USD for venture-backed companies with up to 8 employees.,gaussian,3.5290062040752512,2.0,2.0,2.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_12,The average total raised in millions USD for venture-backed companies with up to 8 employees.,gaussian,3.5290062040752512,5500000.0,5500000.0,5500000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_12,The average total raised in millions USD for venture-backed companies with up to 8 employees.,gaussian,3.5290062040752512,4.0,4.0,4.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_12,The average total raised in millions USD for venture-backed companies with up to 8 employees.,gaussian,3.5290062040752512,4.0,4.0,4.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_12,The average total raised in millions USD for venture-backed companies with up to 8 employees.,gaussian,3.5290062040752512,2500000.0,2500000.0,2500000.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_13,The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,gaussian,6.678734494347694,15.0,15.0,15.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_13,The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,gaussian,6.678734494347694,4000000.0,4000000.0,4000000.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_13,The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,gaussian,6.678734494347694,25000000.0,25000000.0,25000000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_13,The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,gaussian,6.678734494347694,15.0,15.0,15.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_13,The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,gaussian,6.678734494347694,6.0,6.0,6.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_13,The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,gaussian,6.678734494347694,7.5,7.5,7.5
gpt-4o_base_unified-no-lognormal_temp0.5,easy_14,The average total raised in millions USD for venture-backed companies operating in the technology sector.,gaussian,25.585287438747457,30000000.0,30000000.0,30000000.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_14,The average total raised in millions USD for venture-backed companies operating in the technology sector.,gaussian,25.585287438747457,20.0,20.0,20.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_14,The average total raised in millions USD for venture-backed companies operating in the technology sector.,gaussian,25.585287438747457,100000000.0,100000000.0,100000000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_14,The average total raised in millions USD for venture-backed companies operating in the technology sector.,gaussian,25.585287438747457,50.0,50.0,50.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_14,The average total raised in millions USD for venture-backed companies operating in the technology sector.,gaussian,25.585287438747457,30.0,30.0,30.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_14,The average total raised in millions USD for venture-backed companies operating in the technology sector.,gaussian,25.585287438747457,150.0,150.0,150.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_15,The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,gaussian,84.67986682602015,30.0,30.0,30.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_15,The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,gaussian,84.67986682602015,20.0,20.0,20.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_15,The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,gaussian,84.67986682602015,25.0,25.0,25.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_15,The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,gaussian,84.67986682602015,50.0,50.0,50.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_15,The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,gaussian,84.67986682602015,100.0,100.0,100.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_15,The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,gaussian,84.67986682602015,100.0,100.0,100.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_16,The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,gaussian,31.39549600912201,30.0,30.0,30.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_16,The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,gaussian,31.39549600912201,27.5,27.5,27.5
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_16,The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,gaussian,31.39549600912201,50.0,50.0,50.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_16,The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,gaussian,31.39549600912201,10.0,10.0,10.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_16,The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,gaussian,31.39549600912201,25.0,25.0,25.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_16,The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,gaussian,31.39549600912201,5.0,5.0,5.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_2,The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,gaussian,34.618962940105895,30.0,30.0,30.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_2,The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,gaussian,34.618962940105895,10.0,10.0,10.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_2,The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,gaussian,34.618962940105895,125000000.0,125000000.0,125000000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_2,The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,gaussian,34.618962940105895,50.0,50.0,50.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_2,The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,gaussian,34.618962940105895,30.0,30.0,30.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_2,The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,gaussian,34.618962940105895,100.0,100.0,100.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_3,The average number of employees for venture-backed companies that are technology companies.,gaussian,70.71898529939047,150.0,150.0,150.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_3,The average number of employees for venture-backed companies that are technology companies.,gaussian,70.71898529939047,30.0,30.0,30.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_3,The average number of employees for venture-backed companies that are technology companies.,gaussian,70.71898529939047,100000.0,100000.0,100000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_3,The average number of employees for venture-backed companies that are technology companies.,gaussian,70.71898529939047,100.0,100.0,100.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_3,The average number of employees for venture-backed companies that are technology companies.,gaussian,70.71898529939047,100.0,100.0,100.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_3,The average number of employees for venture-backed companies that are technology companies.,gaussian,70.71898529939047,250.0,250.0,250.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_4,The average total raised in millions USD for venture-backed companies headquartered outside the United States.,gaussian,21.47299330483979,100.0,100.0,100.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_4,The average total raised in millions USD for venture-backed companies headquartered outside the United States.,gaussian,21.47299330483979,10.0,10.0,10.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_4,The average total raised in millions USD for venture-backed companies headquartered outside the United States.,gaussian,21.47299330483979,200000000.0,200000000.0,200000000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_4,The average total raised in millions USD for venture-backed companies headquartered outside the United States.,gaussian,21.47299330483979,25.0,25.0,25.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_4,The average total raised in millions USD for venture-backed companies headquartered outside the United States.,gaussian,21.47299330483979,30.0,30.0,30.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_4,The average total raised in millions USD for venture-backed companies headquartered outside the United States.,gaussian,21.47299330483979,50.0,50.0,50.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_5,The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,beta,0.3227794900532362,0.7,0.7067798200563354,0.7222222222222222
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_5,The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,beta,0.3227794900532362,0.6666666666666666,0.667285216415054,0.6685393258426966
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_5,The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,beta,0.3227794900532362,0.3,0.2986619743086955,0.29591836734693877
o3-mini_base_unified-no-lognormal_tempmedium,easy_5,The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,beta,0.3227794900532362,0.6,0.6069151671893704,0.625
o4-mini_base_unified-no-lognormal_tempmedium,easy_5,The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,beta,0.3227794900532362,0.6,0.6022507281983369,0.6071428571428571
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_5,The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,beta,0.3227794900532362,0.6,0.6069151671893704,0.625
gpt-4o_base_unified-no-lognormal_temp0.5,easy_6,The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,gaussian,14.25118825404052,25000000.0,25000000.0,25000000.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_6,The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,gaussian,14.25118825404052,12.0,12.0,12.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_6,The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,beta,14.25118825404052,0.5,0.5,0.5
o3-mini_base_unified-no-lognormal_tempmedium,easy_6,The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,gaussian,14.25118825404052,25.0,25.0,25.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_6,The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,gaussian,14.25118825404052,30.0,30.0,30.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_6,The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,gaussian,14.25118825404052,20.0,20.0,20.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_7,The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,gaussian,65.71121691322338,60.0,60.0,60.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_7,The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,gaussian,65.71121691322338,50.0,50.0,50.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_7,The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,gaussian,65.71121691322338,80.0,80.0,80.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_7,The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,gaussian,65.71121691322338,50.0,50.0,50.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_7,The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,gaussian,65.71121691322338,60.0,60.0,60.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_7,The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,gaussian,65.71121691322338,50.0,50.0,50.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_8,The average number of employees for venture-backed companies operating outside the technology sector.,gaussian,115.67315802197211,125.0,125.0,125.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_8,The average number of employees for venture-backed companies operating outside the technology sector.,gaussian,115.67315802197211,50.0,50.0,50.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_8,The average number of employees for venture-backed companies operating outside the technology sector.,gaussian,115.67315802197211,100000.0,100000.0,100000.0
o3-mini_base_unified-no-lognormal_tempmedium,easy_8,The average number of employees for venture-backed companies operating outside the technology sector.,gaussian,115.67315802197211,50.0,50.0,50.0
o4-mini_base_unified-no-lognormal_tempmedium,easy_8,The average number of employees for venture-backed companies operating outside the technology sector.,gaussian,115.67315802197211,70.0,70.0,70.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_8,The average number of employees for venture-backed companies operating outside the technology sector.,gaussian,115.67315802197211,100.0,100.0,100.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_9,"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",beta,0.5387967626917199,0.7,0.7026852758263352,0.7083333333333334
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_9,"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",beta,0.5387967626917199,0.7,0.7006678446632009,0.702020202020202
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,easy_9,"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",beta,0.5387967626917199,0.6666666666666666,0.668529830719802,0.6724137931034483
o3-mini_base_unified-no-lognormal_tempmedium,easy_9,"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",beta,0.5387967626917199,0.7,0.7067798200563354,0.7222222222222222
o4-mini_base_unified-no-lognormal_tempmedium,easy_9,"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",beta,0.5387967626917199,0.75,0.7541989324799874,0.7631578947368421
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,easy_9,"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",beta,0.5387967626917199,0.7,0.7067798200563354,0.7222222222222222
gpt-4o_base_unified-no-lognormal_temp0.5,hard_0,"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 15 but no more than 42 employees, and are not technology companies.",gaussian,24.068650556611452,10.0,10.0,10.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,hard_0,"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 15 but no more than 42 employees, and are not technology companies.",gaussian,24.068650556611452,5.0,5.0,5.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,hard_0,"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 15 but no more than 42 employees, and are not technology companies.",gaussian,24.068650556611452,10000.0,10000.0,10000.0
o3-mini_base_unified-no-lognormal_tempmedium,hard_0,"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 15 but no more than 42 employees, and are not technology companies.",gaussian,24.068650556611452,15.0,15.0,15.0
o4-mini_base_unified-no-lognormal_tempmedium,hard_0,"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 15 but no more than 42 employees, and are not technology companies.",gaussian,24.068650556611452,8.0,8.0,8.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,hard_0,"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 15 but no more than 42 employees, and are not technology companies.",gaussian,24.068650556611452,20.0,20.0,20.0
gpt-4o_base_unified-no-lognormal_temp0.5,hard_1,"The probability that a venture-backed company is a technology company given that it employs more than 45 people, has raised at most 6 million USD, and is headquartered outside the United States.",beta,0.4182200841852074,0.55,0.5516992414927309,0.5555555555555556
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,hard_1,"The probability that a venture-backed company is a technology company given that it employs more than 45 people, has raised at most 6 million USD, and is headquartered outside the United States.",beta,0.4182200841852074,0.6,0.600669257301867,0.6020408163265306
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,hard_1,"The probability that a venture-backed company is a technology company given that it employs more than 45 people, has raised at most 6 million USD, and is headquartered outside the United States.",beta,0.4182200841852074,0.2,0.19192405976649937,0.17391304347826086
o3-mini_base_unified-no-lognormal_tempmedium,hard_1,"The probability that a venture-backed company is a technology company given that it employs more than 45 people, has raised at most 6 million USD, and is headquartered outside the United States.",beta,0.4182200841852074,0.3076923076923077,0.29757560960718943,0.2727272727272727
o4-mini_base_unified-no-lognormal_tempmedium,hard_1,"The probability that a venture-backed company is a technology company given that it employs more than 45 people, has raised at most 6 million USD, and is headquartered outside the United States.",beta,0.4182200841852074,0.7,0.7067798200563354,0.7222222222222222
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,hard_1,"The probability that a venture-backed company is a technology company given that it employs more than 45 people, has raised at most 6 million USD, and is headquartered outside the United States.",beta,0.4182200841852074,0.6,0.6069151671893704,0.625
gpt-4o_base_unified-no-lognormal_temp0.5,hard_10,The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the US and have between 20 and 46 employees.,gaussian,8.591864776444929,10.0,10.0,10.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,hard_10,The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the US and have between 20 and 46 employees.,gaussian,8.591864776444929,4.0,4.0,4.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,hard_10,The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the US and have between 20 and 46 employees.,gaussian,8.591864776444929,2500000.0,2500000.0,2500000.0
o3-mini_base_unified-no-lognormal_tempmedium,hard_10,The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the US and have between 20 and 46 employees.,gaussian,8.591864776444929,20.0,20.0,20.0
o4-mini_base_unified-no-lognormal_tempmedium,hard_10,The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the US and have between 20 and 46 employees.,gaussian,8.591864776444929,15.0,15.0,15.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,hard_10,The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the US and have between 20 and 46 employees.,gaussian,8.591864776444929,10.0,10.0,10.0
gpt-4o_base_unified-no-lognormal_temp0.5,hard_11,"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the US.",gaussian,168.4002843216897,100.0,100.0,100.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,hard_11,"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the US.",gaussian,168.4002843216897,100.0,100.0,100.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,hard_11,"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the US.",gaussian,168.4002843216897,300.0,300.0,300.0
o3-mini_base_unified-no-lognormal_tempmedium,hard_11,"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the US.",gaussian,168.4002843216897,100.0,100.0,100.0
o4-mini_base_unified-no-lognormal_tempmedium,hard_11,"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the US.",gaussian,168.4002843216897,100.0,100.0,100.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,hard_11,"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the US.",gaussian,168.4002843216897,150.0,150.0,150.0
gpt-4o_base_unified-no-lognormal_temp0.5,hard_12,"The probability that a venture-backed company is based in the US given that it is a technology company, employs no more than 8 people, and has raised over 3 million USD.",beta,0.664759179780639,0.7,0.7067798200563354,0.7222222222222222
