approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode,mu,sigma,a,b,std,associated_baseline_std
meta-llama-3-8b_base_direct_temp0.5,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,261.12520370976847,230.44218346064218,179.46855293183248,5.44,0.5,,,139.1641574661615,12487.883873785171
o3-mini_base_direct_tempmedium,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,12487.883873785171
o4-mini_base_direct_tempmedium,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,156842.90840420686,149941.4254778013,137036.1447081845,11.918,0.3,,,48131.6832312031,12487.883873785171
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,142372.19513342128,140084.3471757332,135618.3540934125,11.85,0.18,,,25835.981774372074,12487.883873785171
gpt-4o_base_direct_temp0.5,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,140786.52288802722,134591.56135699214,123007.42519850106,11.81,0.3,,,43204.32713097596,12324.897348800474
meta-llama-3-70b_base_direct_temp0.5,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,161943.04851031085,154817.14657623274,141492.21827072586,11.95,0.3,,,49696.80549601802,12324.897348800474
meta-llama-3-8b_base_direct_temp0.5,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,205.40836046478316,181.27224187515122,141.17496392147686,5.2,0.5,,,109.47040352473563,12324.897348800474
o3-mini_base_direct_tempmedium,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,12324.897348800474
o4-mini_base_direct_tempmedium,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,151941.36973658123,150241.60841162986,146898.91850238777,11.92,0.15,,,22920.00896437935,12324.897348800474
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,170246.04615791026,162754.79141900392,148746.67943014178,12.0,0.3,,,52244.81520018492,12324.897348800474
gpt-4o_base_direct_temp0.5,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,146444.23697552108,140000.3217775679,127950.66002052599,11.8494,0.3,,,44940.55674468711,12900.51543623516
meta-llama-3-70b_base_direct_temp0.5,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,162.38986205348914,149.90473614904667,127.7403898460288,5.01,0.4,,,67.64290612690932,12900.51543623516
meta-llama-3-8b_base_direct_temp0.5,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,6154.876663538549,5431.659591362978,4230.180743130794,8.6,0.5,,,3280.1821234440995,12900.51543623516
o3-mini_base_direct_tempmedium,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,136625.65232051068,130613.77957221285,119372.00637718744,11.78,0.3,,,41927.4462942242,12900.51543623516
o4-mini_base_direct_tempmedium,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,127516.36649382106,124991.37326214142,120090.39141541165,11.736,0.2,,,25760.444112320783,12900.51543623516
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,146385.67099470805,139944.33284738957,127899.48999120602,11.849,0.3,,,44922.58411675449,12900.51543623516
gpt-4o_base_direct_temp0.5,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,130613.77957221285,120571.71498645052,102744.43805070806,11.7,0.4,,,54406.69459755962,13470.179430708258
meta-llama-3-70b_base_direct_temp0.5,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,103777.0368200868,95798.27906818989,81633.90850160981,11.47,0.4,,,43227.947058897786,13470.179430708258
meta-llama-3-8b_base_direct_temp0.5,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,749.9450971118819,735.0951892419727,706.2716945953657,6.6,0.2,,,151.5014840263327,13470.179430708258
o3-mini_base_direct_tempmedium,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,136625.65232051068,130613.77957221285,119372.00637718744,11.78,0.3,,,41927.4462942242,13470.179430708258
o4-mini_base_direct_tempmedium,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,146532.1298829419,140084.3471757332,128027.45345226408,11.85,0.3,,,44967.529169652254,13470.179430708258
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,136352.67408509797,130352.81306656305,119133.50094936283,11.778,0.3,,,41843.675200653066,13470.179430708258
gpt-4o_base_direct_temp0.5,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,115266.25590734494,110194.25038775145,100709.96186695219,11.61,0.3,,,35372.71128817139,12628.012597369696
meta-llama-3-70b_base_direct_temp0.5,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,70969.11064366704,65512.74612369082,55826.27970742336,11.09,0.4,,,29561.924793054928,12628.012597369696
meta-llama-3-8b_base_direct_temp0.5,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,753.7042125545613,665.1416330443618,518.012824668342,6.5,0.5,,,401.67938685624637,12628.012597369696
o3-mini_base_direct_tempmedium,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,136625.65232051068,130613.77957221285,119372.00637718744,11.78,0.3,,,41927.4462942242,12628.012597369696
o4-mini_base_direct_tempmedium,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,125492.34002075167,119970.36104918174,109644.65427109587,11.695,0.3,,,38510.874474827324,12628.012597369696
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,132886.41237383557,124991.37326214142,110580.60599201151,11.736,0.35,,,47971.64885930764,12628.012597369696
gpt-4o_base_direct_temp0.5,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,119372.00637718744,110194.25038775145,93901.34604770991,11.61,0.4,,,49723.974880237394,5120.938993827314
meta-llama-3-70b_base_direct_temp0.5,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,161943.04851031085,154817.14657623274,141492.21827072586,11.95,0.3,,,49696.80549601802,5120.938993827314
meta-llama-3-8b_base_direct_temp0.5,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,768.9300476319738,735.0951892419727,671.8264175910939,6.6,0.3,,,235.96793668347578,5120.938993827314
o3-mini_base_direct_tempmedium,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,112420.32190882784,110194.25038775145,105873.47202785847,11.61,0.2,,,22710.789989156416,5120.938993827314
o4-mini_base_direct_tempmedium,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",gaussian,,,,,,,,,,5225.273173462503
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",lognormal,110073.66021844103,113351.62591135221,109864.16301521249,103207.82987155975,11.607,0.25,,,28786.50605129999,5120.938993827314
gpt-4o_base_direct_temp0.5,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,128959.02535747403,124991.37326214142,117418.52878145066,11.736,0.25,,,32750.123643801115,8100.044360091757
meta-llama-3-70b_base_direct_temp0.5,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,70969.11064366704,65512.74612369082,55826.27970742336,11.09,0.4,,,29561.924793054928,8100.044360091757
meta-llama-3-8b_base_direct_temp0.5,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,558.3578136649854,492.7490410932563,383.7533390611119,6.2,0.5,,,297.57140865536786,8100.044360091757
o3-mini_base_direct_tempmedium,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,146532.1298829419,140084.3471757332,128027.45345226408,11.85,0.3,,,44967.529169652254,8100.044360091757
o4-mini_base_direct_tempmedium,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,127516.36649382106,124991.37326214142,120090.39141541165,11.736,0.2,,,25760.444112320783,8100.044360091757
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,126121.3729928006,120571.71498645052,110194.25038775145,11.7,0.3,,,38703.91103644614,8100.044360091757
gpt-4o_base_direct_temp0.5,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775145,11.7,0.3,,,38703.91103644614,5206.455017551681
meta-llama-3-70b_base_direct_temp0.5,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,70969.11064366704,65512.74612369082,55826.27970742336,11.09,0.4,,,29561.924793054928,5206.455017551681
meta-llama-3-8b_base_direct_temp0.5,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,515.4292249268514,492.7490410932563,450.33871516762093,6.2,0.3,,,158.1740381806024,5206.455017551681
o3-mini_base_direct_tempmedium,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,115266.25590734494,110194.25038775145,100709.96186695219,11.61,0.3,,,35372.71128817139,5206.455017551681
o4-mini_base_direct_tempmedium,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775145,11.7,0.3,,,38703.91103644614,5206.455017551681
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775145,11.7,0.3,,,38703.91103644614,5206.455017551681
gpt-4o_base_direct_temp0.5,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,145801.2978362103,134591.56135699214,114691.36305762557,11.81,0.4,,,60733.000065409025,11450.517231488195
meta-llama-3-70b_base_direct_temp0.5,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,67846.29106328034,64860.883408211565,59278.38405100574,11.08,0.3,,,20820.553655215346,11450.517231488195
meta-llama-3-8b_base_direct_temp0.5,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,1346.1446890406685,1187.9685185090932,925.1908124790585,7.08,0.5,,,717.4148217653819,11450.517231488195
o3-mini_base_direct_tempmedium,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,134759.90600217157,130613.77957221285,122700.29071357667,11.78,0.25,,,34223.30132818695,11450.517231488195
o4-mini_base_direct_tempmedium,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,122393.92310586887,119970.36104918174,115266.25590734514,11.695,0.2,,,24725.624659397752,11450.517231488195
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,133252.3529455308,130613.77957221285,125492.34002075167,11.78,0.2,,,26919.209551465083,11450.517231488195
gpt-4o_base_direct_temp0.5,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,145801.2978362103,134591.56135699214,114691.36305762557,11.81,0.4,,,60733.000065409025,12578.437679197117
meta-llama-3-70b_base_direct_temp0.5,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,170246.04615791026,150241.60841162986,117008.28228088471,11.92,0.5,,,90730.98743024368,12578.437679197117
meta-llama-3-8b_base_direct_temp0.5,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,127.10328199373689,121.51041751873485,111.05215990569917,4.8,0.3,,,39.00523758972028,12578.437679197117
o3-mini_base_direct_tempmedium,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,12578.437679197117
o4-mini_base_direct_tempmedium,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,151637.79067736017,149941.4254778013,146605.41426745255,11.918,0.15,,,22874.214755923767,12578.437679197117
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,156905.65811667452,150001.41404490612,137090.97013042134,11.9184,0.3,,,48150.93975554373,12578.437679197117
gpt-4o_base_direct_temp0.5,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,126121.3729928006,120571.71498645052,110194.25038775145,11.7,0.3,,,38703.91103644614,24128.347615112165
meta-llama-3-70b_base_direct_temp0.5,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,167711.41274037142,154817.14657623274,131926.46988040826,11.95,0.4,,,69859.57870123419,24128.347615112165
meta-llama-3-8b_base_direct_temp0.5,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,753.7042125545613,665.1416330443618,518.012824668342,6.5,0.5,,,401.67938685624637,24128.347615112165
o3-mini_base_direct_tempmedium,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,162754.79141900392,150241.60841162986,128027.45345226408,11.92,0.4,,,67794.91612619325,24128.347615112165
o4-mini_base_direct_tempmedium,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,136625.65232051068,130613.77957221285,119372.00637718744,11.78,0.3,,,41927.4462942242,24128.347615112165
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,132587.75406259106,129962.34062887417,124866.4443637393,11.775,0.2,,,26784.949433710633,24128.347615112165
gpt-4o_base_direct_temp0.5,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,94372.02850349997,90219.4216048275,82454.34292178466,11.41,0.3,,,28960.726551374613,5526.175996991083
meta-llama-3-70b_base_direct_temp0.5,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,93433.0111304619,89321.72336080558,81633.90850160981,11.4,0.3,,,28672.56250744356,5526.175996991083
meta-llama-3-8b_base_direct_temp0.5,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,83.51280722204119,73.69979369959579,57.39745704544619,4.3,0.5,,,44.50734471271783,5526.175996991083
o3-mini_base_direct_tempmedium,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,115266.25590734494,110194.25038775145,100709.96186695219,11.61,0.3,,,35372.71128817139,5526.175996991083
o4-mini_base_direct_tempmedium,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,112420.32190882784,110194.25038775145,105873.47202785847,11.61,0.2,,,22710.789989156416,5526.175996991083
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,94089.3366677619,89949.16892172713,82207.35056679603,11.407,0.3,,,28873.97456476438,5526.175996991083
gpt-4o_base_direct_temp0.5,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,126121.3729928006,120571.71498645052,110194.25038775145,11.7,0.3,,,38703.91103644614,13333.778226847038
meta-llama-3-70b_base_direct_temp0.5,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,129.99444801933345,119.99999990615451,102.2572545959755,4.787491742,0.4,,,54.14871429285897,13333.778226847038
meta-llama-3-8b_base_direct_temp0.5,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,137.6893416428586,121.51041751873485,94.63240831492406,4.8,0.5,,,73.38020593024078,13333.778226847038
o3-mini_base_direct_tempmedium,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,13333.778226847038
o4-mini_base_direct_tempmedium,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,137310.49125269664,134591.56135699214,129314.15075082007,11.81,0.2,,,27739.021532752045,13333.778226847038
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,153031.6436145214,150001.41404490612,144119.7744722609,11.9184,0.2,,,30914.95790808541,13333.778226847038
