variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,lognormal,,,3.5597729297418006,0.501841212458577
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,4.83562925266726,0.70034622546752
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,1.9637286053276313,0.4559665946558855
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,lognormal,,,3.0297064135249028,0.6557403080772818
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,4.004132908456641,0.7909842829440156
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,4.795292181264408,0.7279376120603304
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,3.60998635269798,2.9756905860221,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,lognormal,,,4.132527816592033,0.9553024899619689
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,3.269822601087156,0.682907032868467
The average number of employees for venture-backed companies that have raised over 1 million USD but no more than 4 million USD and are not technology companies.,medium_8,normal,lognormal,,,3.3377987536135945,0.6473574859759811
The probability that a venture-backed company is based in the US when it has raised over 14 million USD in total funding and employs at most 28 people.,medium_9,beta,beta,8.819473790254325,3.855773148103213,,
The average total raised in millions USD for venture-backed companies headquartered in the United States with 8 to 15 employees.,medium_10,normal,lognormal,,,2.2286223039153095,0.6010621772245608
The average total raised in millions USD for venture-backed companies whose headquarters are in the United States and that operate in the technology sector.,medium_11,normal,lognormal,,,3.21099998337016,0.7117781275594887
"The probability that a venture-backed company is based in the US, given that it is a technology company and has raised over 13 million USD.",medium_12,beta,beta,9.794682068189507,4.19065503475491,,
The average total raised in millions USD for venture-backed companies that are not technology companies and have between 8 and 16 employees.,medium_13,normal,lognormal,,,1.7920655499625004,0.4216656467848749
The probability that a venture-backed company is a technology company given it has between 18 and 45 employees and has raised between 6 and 15 million USD.,medium_14,beta,beta,6.492797641232883,1.8159582543828054,,
The average total raised in millions USD for venture-backed companies based in the US with at most 7 employees.,medium_15,normal,lognormal,,,0.9129880602358993,0.6333091446875568
"The probability that a venture-backed company is based in the US, given it has raised between 4 million and 14 million USD and is a technology company.",medium_16,beta,beta,8.832727235152618,5.932934841694733,,
The average total raised in millions USD for venture-backed companies that are headquartered in the US and have more than 42 employees.,medium_17,normal,lognormal,,,4.367324308415523,0.5737952438560099
The average total raised in millions USD for venture-backed companies that are not based in the US and have more than 49 employees.,medium_18,normal,lognormal,,,3.9000089346350535,0.7146878576672527
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are headquartered in the United States.,medium_19,normal,lognormal,,,4.442807212341759,0.7579811593161926
"The probability that a venture-backed company is a technology company, given that it has raised between 4 and 14 million USD, is headquartered outside the US, and employs more than 52 people.",hard_0,beta,beta,3.5065212794512584,1.2928012072900155,,
"The average total raised in millions USD for venture-backed companies that are based outside the US, have between 9 and 19 employees inclusive, and are not technology companies.",hard_1,normal,lognormal,,,1.8211506566144111,0.5386202421398186
The average number of employees for venture-backed companies that are US-based technology companies and have raised between 6 million and 19 million USD.,hard_2,normal,lognormal,,,4.081030470613129,0.5328334097892571
"The average total raised in millions USD for venture-backed companies that are non-technology companies, are based in the United States, and have at most 7 employees.",hard_3,normal,lognormal,,,0.25669957196815335,0.7623431331102812
"The average number of employees for venture-backed companies that have raised between 4 and 14 million USD, are technology companies, and are headquartered outside the United States.",hard_4,normal,lognormal,,,4.061966231579,0.7551436481851871
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 1 million USD but no more than 4 million USD.",hard_5,normal,lognormal,,,3.2635661880022844,0.7537295005093899
"The average number of employees for venture-backed companies that have raised at most 1 million USD, are based in the US, and operate as technology companies.",hard_6,normal,lognormal,,,2.108624763676357,0.9576570926799485
"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 42 employees, and operate in the technology sector.",hard_7,normal,lognormal,,,4.441036274943392,0.8129288712557297
"The probability that a venture-backed company is based in the US given that it has raised at most 1 million USD, employs no more than 4 people, and is not a technology company.",hard_8,beta,beta,4.146309816125009,2.3170213620648634,,
"The average total raised in millions USD for venture-backed companies that have at most 8 employees, operate in the technology sector, and are based in the United States.",hard_9,normal,lognormal,,,1.2606016750196631,0.7465930015357396
"The probability that a venture-backed company is based in the US, given it has between 18 and 45 employees, has raised at most $2 million USD, and is a technology company.",hard_10,beta,beta,5.046823740577912,3.2196777174619946,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,normal,lognormal,,,0.7521568295639578,0.8129288740546321
"The probability that a venture-backed company is based in the US given that it has raised between 4 and 14 million USD, is not a technology company, and employs between 11 and 20 people.",hard_12,beta,beta,3.8660302199098013,2.6832385586317398,,
"The average total raised in millions USD for venture-backed companies that are not technology companies, are based in the United States, and have between 15 and 38 employees.",hard_13,normal,lognormal,,,2.0670896973517965,0.5691634086850981
"The average number of employees for venture-backed companies that are technology firms, have raised over 13 million USD, and are headquartered outside the United States.",hard_14,normal,lognormal,,,5.217203074196248,0.8943241783865182
"The average total raised in millions USD for venture-backed companies that are not in the technology sector, have at most 7 employees, and are headquartered outside the United States.",hard_15,normal,lognormal,,,0.8488604826357312,0.7521757043782429
"The average number of employees for venture-backed companies that are based in the United States, have raised no more than 2 million USD in total funding, and are not technology companies.",hard_16,normal,lognormal,,,2.2652703195177253,0.5871570376500558
"The average total raised in millions USD for venture-backed companies with 18 to 45 employees, headquartered outside the US, and operating outside the technology sector.",hard_17,normal,lognormal,,,2.3414405023741875,0.5320699540123032
The average number of employees for venture-backed companies that are non-technology companies based in the US and have raised more than 2 million USD and at most 6 million USD.,hard_18,normal,lognormal,,,3.2143388231939976,0.6728483607551058
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 6 million USD but do not exceed 20 million USD.",hard_19,normal,lognormal,,,4.121124697751812,0.9628397285393391
