variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,a,b,mean,std,mu,sigma
"The probability that a venture-backed company is based in the US, given it operates in the technology sector and has raised between 4 and 14 million USD.",medium_8,0.48730491497787093,beta,beta,14.0,6.0,0.7,0.1,,
The average number of employees for venture-backed companies that have raised more than 4 million USD and up to 14 million USD and are technology companies.,medium_9,44.00244584206848,normal,lognormal,,,56.542920238322985,30.13400370340516,3.91,0.5
"The probability that a venture-backed company is based in the US, has raised more than 1 million USD but no more than 4 million USD, and employs more than 25 people.",medium_10,0.2579412467160258,beta,beta,3.0,47.0,0.06,0.03325480947082957,,
The probability that a venture-backed company is based in the US if it has more than 45 employees and has raised at most 6 million USD.,medium_11,0.24711473183978275,beta,beta,14.0,6.0,0.7,0.1,,
The average number of employees for venture-backed companies based in the US and operating outside the technology sector.,medium_12,77.50193277861496,normal,lognormal,,,104.602766536001,32.10031792475515,4.60517,0.3
The probability that a venture-backed company is based in the US when it has raised at most 1 million USD and employs more than 15 people.,medium_13,0.228516562650024,beta,beta,6.0,4.0,0.6,0.14770978917519928,,
The average number of employees for venture-backed companies that operate in the technology sector and are headquartered in the United States.,medium_14,60.27666442501681,normal,lognormal,,,90.64946179433973,48.310755898506024,4.382,0.5
"The probability that a venture-backed company is a technology company, given that it is headquartered in the United States and has more than 42 employees.",medium_15,0.5292765382014875,beta,beta,12.0,8.0,0.6,0.10690449676496976,,
The average number of employees for venture-backed companies that have raised more than 14 million USD and are headquartered in the United States.,medium_16,158.96813209928482,normal,lognormal,,,265.40315246696497,230.61909969420702,5.3,0.75
The average number of employees for venture-backed companies that are not technology companies and have raised over 1 million USD but no more than 4 million USD.,medium_17,36.159646442601485,normal,lognormal,,,35.87354084706276,23.61474880551149,3.4,0.6
The probability that a venture-backed company is based in the US given that the company does not operate in the technology sector and has more than 45 employees.,medium_18,0.3516531165311653,beta,beta,13.0,7.0,0.65,0.10408329997330663,,
The average total raised in millions USD for venture-backed companies that are not headquartered in the US and have between 9 and 19 employees.,medium_19,5.2096888246628135,normal,lognormal,,,5.668927803804981,3.021200368042087,1.61,0.5
The average total raised in millions USD for venture-backed companies headquartered in the US with between 16 and 42 employees and that are not technology companies.,hard_0,24.0746973827699,normal,lognormal,,,11.941264417849103,7.860667026148539,2.3,0.6
"The probability that a venture-backed company is a technology company when it has more than 45 employees, has raised at most 6 million USD, and is not based in the US.",hard_1,0.41809437932070936,beta,beta,6.0,4.0,0.6,0.14770978917519928,,
"The average total raised in millions USD for venture-backed companies that have more than 45 employees, are not technology companies, and are not based in the US.",hard_2,69.3911135261662,normal,lognormal,,,11.941264417849103,7.860667026148539,2.3,0.6
"The probability that a venture-backed company is a technology company with more than 45 employees, based in the US, and having raised between 13 and 38 million USD.",hard_3,0.5678654292343387,beta,beta,7.0,93.0,0.07,0.02538807703323638,,
"The average number of employees for venture-backed companies headquartered outside the United States, that have raised between 1 million and 3 million USD, and that are not technology companies.",hard_4,35.34596713965646,normal,lognormal,,,16.24849030252728,6.768249509786648,2.708,0.4
"The average total raised in millions USD for venture-backed companies that are based outside the US, operate in the technology sector, and have at most 9 employees.",hard_5,2.047198489966223,normal,lognormal,,,2.8433985236517687,1.5153618044634698,0.92,0.5
"The probability that a venture-backed company is a technology company, given it has raised more than 1 million USD and up to 4 million USD, employs between 13 and 25 people, and is based in the US.",hard_6,0.541757443718228,beta,beta,14.0,6.0,0.7,0.1,,
"The probability that a venture-backed company is a technology company with between 18 and 45 employees, having raised more than 15 million USD, and headquartered outside the US.",hard_7,0.4179640718562874,beta,beta,2.0,98.0,0.02,0.013930520662939847,,
"The average total raised in millions USD for venture-backed companies that operate in the technology sector, employ more than 46 individuals, and are headquartered outside the United States.",hard_8,58.89021290185224,normal,lognormal,,,35.87354084706276,23.61474880551149,3.4,0.6
"The average total raised in millions USD for venture-backed companies that are headquartered outside the US, have at least 50 employees, and are not in the technology sector.",hard_9,72.61639411138701,normal,lognormal,,,22.75989509352673,12.129666457739873,3.0,0.5
"The average total raised in millions USD for venture-backed companies that are not based in the US, are technology companies, and have between 20 and 46 employees.",hard_10,8.60061642343716,normal,lognormal,,,8.381274573459967,5.517205412369627,1.946,0.6
"The average number of employees for venture-backed companies that have raised more than 14 million USD, are not technology companies, and are based in the United States.",hard_11,168.64252288911496,normal,lognormal,,,144.02688737091955,94.80967549325253,4.79,0.6
"The probability that a venture-backed company is based in the US, given that it operates in the technology sector, employs at most eight people, and has raised over 3 million USD.",hard_12,0.6628516928946113,beta,beta,6.5,3.5,0.65,0.14381174563233068,,
"The probability that a venture-backed company is based in the US when it is a technology company, has raised at most 2 million USD in total, and has between nine and fourteen employees.",hard_13,0.3167239404352806,beta,beta,14.0,6.0,0.7,0.1,,
"The probability that a venture-backed company is based in the US, has more than 45 employees, is not a technology company, and has raised between 6 and 19 million USD.",hard_14,0.2626788036410923,beta,beta,2.0,238.0,0.008333333333333333,0.005855765995118013,,
"The average total raised in millions USD for venture-backed companies operating in the technology sector, based in the United States, and having eight or fewer employees.",hard_15,3.0854064320081034,normal,lognormal,,,6.889510241581294,6.523172535788726,1.61,0.8
"The probability that a venture-backed company is based in the US, assuming it is a technology company, has more than 46 employees, and has raised at most 8 million USD.",hard_16,0.2613690761129727,beta,beta,6.0,4.0,0.6,0.14770978917519928,,
"The probability that a venture-backed company is based in the US, given that it has between 9 and 17 employees, is a technology company, and has raised between 3 and 6 million USD.",hard_17,0.5226003047232097,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
"The probability that a venture-backed company is based in the US, given that it is a technology company, has raised between 2 and 4 million USD, and has at most 7 employees.",hard_18,0.5169846440204746,beta,beta,13.0,7.0,0.65,0.10408329997330663,,
"The probability that a venture-backed company is a technology company, given that it employs more than 45 people, has raised more than 63 million USD, and is based in the US.",hard_19,0.5303334672559261,beta,beta,15.0,5.0,0.75,0.0944911182523068,,
