Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary_Range,Midpoint_Salary,job_category,seniority_level,Midpoint Salary,IsPublic
Entry Level - Associate Data Scientist - Commercial,Employer Provided Salary:$93.00 - $121.00 Per Hour,"Introduction
As a Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
You uncover the stories hidden in data and find patterns in the numbers. As an Associate Data Scientist, you’ll put this skill to work to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations for better outcomes. You’ll use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, as an Associate Data Scientist, you’ll formulate conclusions and recommendations to stakeholders in an organization's leadership structure, leveraging strong consulting, communication, visualization, and storytelling skills.



We have a number of positions open in these locations:




Willingness to travel up to 100%.",3.9,"IBM
3.9",GA,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),"(193440, 251680)",222560.0,Data Scientist,Junior,222560.0,public
"Data Scientist, Analytics",Employer Provided Salary:$112K,"3+ years of domain experience in a consumer internet business, or in a high-velocity, high-growth product or team
Expert SQL skills and proficiency in Python/R
Experience using data to create insight and drive business results
Fluency in data analysis and communication around data, including time series analysis, experimentation, data visualization, and defining the KPI strategy for your business
Excellent team player with the ability to maintain relationships
Bachelor's Degree
If you are interested in this position, please apply on Twitch's Career site https://www.twitch.tv/jobs/en/


Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate and grow their personal interests and passions. We're always live at Twitch.


As a Data Scientist, Analytics member of the Data Platform - Insights team, you'll provide data analysis and support for platform, service, and operational engineering teams at Twitch, shaping the way success is measured. Defining what questions should be asked and scaling analytics methods and tools to support our growing business. Additionally, you will help support the vision for business analytics, solutions architecture for data related business constructs, as well as tactical execution such as experiment analysis and campaign performance reporting. You are paving the way for high-quality, high-velocity decisions and will report to the Manager, Data Science.

For this role, we're looking for an experienced data staff who will oversee data instrumentation, dashboard/report building, metrics reviews, inform team investments, guidance on success/failure metrics and ad-hoc analysis. You will also work with technical and non-technical staff members throughout the company, and your effort will have an impact on hundreds of partners at Twitch



We are open to hiring candidates to work out of one of the following locations:

Irvine, CA, USA | Seattle, WA, USA | Virtual Location - CA

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status, or other legally protected status.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $111,600/year in our lowest geographic market up to $212,800/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",3.7,"Twitch Interactive, Inc.
3.7",CA,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"(112000, 112000)",112000.0,Data Scientist,Mid,112000.0,public
Grace Hopper 2023: Data Scientist,$82K - $123K (Glassdoor est.),"Our Opportunity:
Chewy is looking for Data Scientists to join our Data Science team in Plantation, FL, Boston, MA and Minneapolis, MN. The teams use analytical and statistical techniques to understand and serve the needs of our business processes. Developing data-driven solutions, we are looking for data scientists who are committed to solving business problems using cutting edge technologies and developing data-driven marketing solutions.
As part of the data science team at Chewy, you will have the opportunity to provide structure to business problems for new and existing Chewy customers by applying data science principles to design, test, implement, and develop data-based solutions, including reporting, auditing, and preparing large databases for statistical analysis.",3.5,"Chewy
3.5",FL,10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail & Wholesale,$5 to $25 million (USD),"(82000, 123000)",102500.0,Data Scientist,Mid,102500.0,public
Data Scientist,Employer Provided Salary:$112K - $165K,"No Relocation Assistance Offered
# 154386 - Piscataway, New Jersey, United States
Ready for a career that combines global collaboration, continuous learning, and positive impact? At Colgate, we offer you the chance to be a part of something bigger than just a job!

Our iconic brands, sustainability commitment, and innovative culture set the stage for an inspiring workplace. We value creativity, experimentation, and authenticity, driving our enduring success and building a future to smile about for our employees, consumers, and communities.

As a Data Scientist on our Advanced Analytics team, you'll shape Colgate's future by developing powerful data products, implementing machine learning models, and optimizing our data science architecture. Join our collaborative team of innovators and technologists.
Your role? Lead advanced analytics projects for our Global Supply Chain, using your discernment and technical skills to generate insights that drive business decisions.

Unlock a career that leaves you smiling every day at Colgate!",4.2,"Colgate-Palmolive
4.2",NJ,10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),"(112000, 165000)",138500.0,Data Scientist,Mid,138500.0,public
Data Scientist - NLP,$121K - $169K (Glassdoor est.),"You are a research scientist and engineer who wants to work in the areas of machine learning, natural language processing, information extraction, graphical models, summarization, information retrieval, recommend systems, and/or knowledge graphs. You will bring new ideas, evangelizing them, and shepherding their adoption within the team. You extract and identify relevant, meaningful, and actionable information from structured and unstructured data in real-time and provide advanced ways of accessing this data (such as search, summarization, and recommendations).
What you will do:
Proactively explore, research, describe, and analyze data.
Develop tools and strategies related to text analytics, machine learning, and semantic enrichment",3.5,"Bloomberg BNA
3.4",DC,1001 to 5000 Employees,1929,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD),"(121000, 169000)",145000.0,Data Scientist,Mid,145000.0,not public
Data Scientist II,Employer Provided Salary:$102K - $152K,"Job Description
Zendesk is looking for a Data Scientist to join Enterprise Data & Analytics.
In the Decision Science group, you will be a member of a small but mighty team tasked with the most complicated and exciting problems facing the business!
On any given day, you may be exploring new datasets, learning the intricacies of a business process, building models, perfecting visualizations, or coordinating the operationalization of an asset. You’ll work with a collaborative team where you will quickly develop wide exposure to different functions and best practices for applying data science in very human environments.
Most importantly, we build things that matter! The insights we uncover and tools we develop immediately benefit our stakeholders. We strive to fail fast and iterate quickly so that we make the biggest difference with our business partners.

The US annualized base salary range for this position is $102,000.00-$152,000.00. This position may also be eligible for bonus, benefits, or related incentives. While this range reflects the minimum and maximum value for new hire salaries for the position across all US locations, the offer for the successful candidate for this position will be based on job related capabilities, applicable experience, and other factors such as work location. Please note that the compensation details listed in US role postings reflect the base salary only (or OTE for commissions based roles), and do not include bonus, benefits, or related incentives.",3.6,"Zendesk
3.6",Remote,1001 to 5000 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),"(102000, 152000)",127000.0,Data Scientist,Mid,127000.0,not public
Data Scientist,Employer Provided Salary:$125K - $145K,"Job Location
Boston
Job Description
The Procter & Gamble Business Service Company is seeking a Data Scientist (Boston, MA) to develop new Natural Language Processing (NLP) capabilities and apply them to projects including voice of consumer (eCommerce Ratings & Reviews, Social Media, Consumer comments from primary research, etc.). Analyze verbatims for consumer complaints (call center data), innovation opportunity discovery (qualitative consumer research), and consumption evaluation for in-market products. Build advanced large-scale machine learning models to bring direct business impacts such as facilitating product developers and products researchers and market researchers to better understand consumers’ attitude towards products without needing to perform large scale consumer tests, researching competitors to gain insight into their products and predicting emerging trends and topics using social media data. Communicate state-of-the-art NLP techniques with other Data Scientists and business leaders. Utilize strong Python and cloud computing skills along with tools such as PyTorch or TensorFlow to derive consumer related business insights. Local telecommuting permitted up to 3 days per week.
Full time
R000089048
Experienced Professionals (Job Segmentation)
$125,000.00 - $145,000.00 / year",4.1,"Procter & Gamble
4.1",MA,10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),"(125000, 145000)",135000.0,Data Scientist,Mid,135000.0,public
"Data Scientist (Omics data analysis (genetics, genomics and proteomics))",Employer Provided Salary:$51.00 - $52.00 Per Hour,"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.",3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"(106080, 108160)",107120.0,Data Scientist,Mid,107120.0,not public
Data Scientist,Employer Provided Salary:$130K - $146K,"Requisition ID: 377004
Work Area: Information Technology
Expected Travel: 0%
Career Status: Professional
Employment Type: Regular Full Time
Career Level: T2
Original Posting Date: 7/17/23
Recruiter Name: J.L. Andal
Additional Locations:

Original Posting Date: 7/17/2023
Data Scientist",4.4,"SAP
4.4",CA,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"(130000, 146000)",138000.0,Data Scientist,Mid,138000.0,public
Data Scientist,Employer Provided Salary:$105K - $157K,"Morrison Foerster LLP, an Am Law 50 law firm with 18 offices worldwide, has an opening for a Data Scientist within our Information Technology Department) in our Austin Boston Denver Los Angeles Miami New York Palo Alto San Diego San Francisco Washington, D.C. office.
The Opportunity
Guided by department and firmwide objectives and priorities and under the direction of the Director of Data Science Analytics, participates in and contributes to improving firm strategy, delivery of legal services, and operations using data science tools and techniques. Partners with the Director to develop and gain buy-in for the program strategy, identifying the individuals, resources, and tools necessary to accomplish the strategy. Ensures execution and ongoing operations of same. Along with the Director, functions as a thought leader within the firm and possesses substantial data science experience in a variety of industries and scenarios. Ensures client service and satisfaction are attained in all areas of position.",3.9,"Morrison & Foerster
3.9",United States,1001 to 5000 Employees,1883,Private Practice / Firm,Legal,Legal,$1 to $5 billion (USD),"(105000, 157000)",131000.0,Data Scientist,Mid,131000.0,not public
Data Scientist,$136K - $186K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring. As you read through the expectations of the position, consider how your skills and experiences may complement the responsibilities of the role. We encourage you to think through your relevant and transferable skills from prior experiences.",3.8,"Pinterest
3.8",CA,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),"(136000, 186000)",161000.0,Data Scientist,Mid,161000.0,public
"Data Scientist, NLP",Employer Provided Salary:$68K - $191K,"About Ancestry:
When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. With more than 30+ billion digitized global historical records, 125+ million family trees, and 22+ million people in our growing AncestryDNA database, Ancestry helps customers discover their family story and gain a new level of understanding about their lives.

We are committed to our location flexible work approach, allowing you to choose to work in the nearest office, from your home, or a hybrid of both (subject to location restrictions and roles that are required to be in the office- see the full list of eligible US locations HERE). We will continue to hire and promote beyond the boundaries of our office locations, to enable broadened possibilities for employee diversity.

Together, we work every day to foster a work environment that's inclusive as well as diverse, and where our people can be themselves. Every idea and perspective is valued so that our products and services reflect the global and diverse clients we serve.

Ancestry encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants. Passionate about dedicating your work to enriching people’s lives? Join the curious.",3.5,"Ancestry
3.5",Remote,1001 to 5000 Employees,1983,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),"(68000, 191000)",129500.0,Data Scientist,Mid,129500.0,not public
Data Scientist,Employer Provided Salary:$95K - $125K,"LOCATION 4287 Route 130 S Edgewater Park NJ US 08010
Overview
Come join our growing team here at Burlington Stores as a Data Scientist I! The Data Scientist I will support business areas including Merchandising, Allocations, Marketing, IT and Supply Chain Analytics teams with insights gained from analyzing Burlington and external data. Must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools building and implementing models, using/creating algorithms and creating/running simulations. Must have strong interpersonal and relationship building skills & strong written and verbal communication skills.
Duties & Responsibilities:",3.1,"Burlington Stores
3.1",NJ,10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD),"(95000, 125000)",110000.0,Data Scientist,Mid,110000.0,public
Data Scientist,$100K - $151K (Glassdoor est.),"Why LVT:
LVT (LiveView Technologies) is making the world a safer place and we need your help! Based in Utah, LVT is the world's leader for physical security platforms and data. With our systems in every US state and several Fortune 500 enterprise companies as customers, we're positioned for massive growth in the years to come. While we were founded 18 years ago, we are still innovative and consistently scaling. If you are looking for a market leading organization with untapped potential, look no further than LVT!

So about that scalability - we’ve been very intentional about our growth and profitability, which has driven our massive growth trajectory. To keep up with the explosive demand, we need self-motivated, innovative go-getters at every level. At LVT, we provide a fulfilling career that allows you to live your best life at work and at home. We provide the culture to work smart and have fun, while giving you the flexibility needed for yourself and your loved ones.",4.4,"LiveView Technologies
4.4",UT,501 to 1000 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"(100000, 151000)",125500.0,Data Scientist,Mid,125500.0,not public
Data Scientist,Employer Provided Salary:$83K,"Posting Details
Posting Details
Working Title
Data Scientist

Position Number
01021A

Department
INFORMATION TECHNOLOGY SERV-ADMIN",4.1,"Old Dominion University
4.1",VA,1001 to 5000 Employees,1930,College / University,Colleges & Universities,Education,$100 to $500 million (USD),"(83000, 83000)",83000.0,Data Scientist,Mid,83000.0,not public
