approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode,mu,sigma,a,b,std,associated_baseline_std,quartile_of_gt
o4-mini_base_direct_tempmedium,double_17,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",lognormal,114917.59946750411,126121.3729928006,120571.71498645052,110194.25038775144,11.7,0.3,,,38703.91103644614,4953.077692790663,2.0
o4-mini_base_direct_tempmedium,double_18,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",lognormal,138838.50706608547,122393.92310586887,119970.36104918174,115266.25590734514,11.695,0.2,,,24725.624659397752,12430.085209116703,4.0
o4-mini_base_direct_tempmedium,double_19,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",lognormal,152850.88867605798,151637.79067736017,149941.4254778013,146605.41426745255,11.918,0.15,,,22874.214755923767,15031.23022659878,3.0
o4-mini_base_direct_tempmedium,double_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",lognormal,126447.6155895413,136625.65232051068,130613.77957221284,119372.00637718744,11.78,0.3,,,41927.4462942242,15181.281629990872,2.0
o4-mini_base_direct_tempmedium,double_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",lognormal,113671.92546671396,112420.32190882784,110194.25038775144,105873.47202785849,11.61,0.2,,,22710.789989156416,4404.188056484562,3.0
o4-mini_base_direct_tempmedium,double_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",lognormal,117268.66612793114,137310.49125269664,134591.56135699214,129314.15075082007,11.81,0.2,,,27739.021532752045,11969.983797940224,1.0
o4-mini_base_direct_tempmedium,double_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",lognormal,116612.98018828568,115664.61125808678,114691.36305762555,112769.36564501066,11.65,0.13,,,15100.15249362551,10425.312993359305,3.0
o4-mini_base_direct_tempmedium,double_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",lognormal,139619.39395559774,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,12172.146149424443,2.0
o4-mini_base_direct_tempmedium,double_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",lognormal,118237.78826136,122393.92310586887,119970.36104918174,115266.25590734514,11.695,0.2,,,24725.624659397752,14333.034563227671,2.0
o4-mini_base_direct_tempmedium,double_8,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",lognormal,146088.4906966512,142914.2387054562,140084.3471757332,134591.56135699214,11.85,0.2,,,28871.07247684296,9938.460084801209,3.0
o4-mini_base_direct_tempmedium,double_9,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in PA",lognormal,110540.5186235032,113147.77650421762,110194.25038775144,104516.47568321665,11.61,0.23,,,26371.97912806544,1893.2487364051165,3.0
o4-mini_base_direct_tempmedium,single_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public",lognormal,133694.84959063056,133252.3529455308,130613.77957221284,125492.34002075168,11.78,0.2,,,26919.209551465083,14309.792237948312,3.0
o4-mini_base_direct_tempmedium,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,127516.36649382106,124991.37326214142,120090.39141541164,11.736,0.2,,,25760.444112320783,6266.148808509589,2.0
o4-mini_base_direct_tempmedium,single_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Healthcare sector",gaussian,117827.01190476192,,,,,,,,,8123.91850301341,2.0
o4-mini_base_direct_tempmedium,single_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 1 to 50 Employees",lognormal,115354.195821714,95779.12132821415,94845.07026491784,93004.20628652844,11.46,0.14,,,13475.05054694456,6421.022258229079,4.0
o4-mini_base_direct_tempmedium,single_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in NY",gaussian,143781.25,,,,,,,,,14188.211967511284,3.0
o4-mini_base_direct_tempmedium,single_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in PA",lognormal,109059.67288528426,103182.03113906784,100007.45378075758,93948.3084603586,11.513,0.25,,,26203.86024363793,2337.9633184999648,3.0
o4-mini_base_direct_tempmedium,single_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",gaussian,139015.625,,,,,,,,,16142.16305158596,4.0
o4-mini_base_direct_tempmedium,single_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",lognormal,150625.72311930376,137310.49125269664,134591.56135699214,129314.15075082007,11.81,0.2,,,27739.021532752045,12928.132495970189,3.0
o4-mini_base_direct_tempmedium,single_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue",gaussian,116732.74774774777,,,,,,,,,13956.983048851502,2.0
o4-mini_base_direct_tempmedium,single_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $500 million to $1 billion (USD) revenue",gaussian,113268.88888888888,,,,,,,,,7275.193144571243,2.0
o4-mini_base_direct_tempmedium,single_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 201 to 500 Employees",lognormal,112282.23517264814,125492.34002075168,119970.36104918174,109644.65427109587,11.695,0.3,,,38510.87447482733,5191.750234140854,2.0
o4-mini_base_direct_tempmedium,single_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in Remote",lognormal,117798.38297223306,123778.6291077804,119970.36104918174,112701.72432005034,11.695,0.25,,,31434.522682712453,14431.3267086603,2.0
o4-mini_base_direct_tempmedium,single_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public",lognormal,120306.77548039307,125492.34002075168,119970.36104918174,109644.65427109587,11.695,0.3,,,38510.87447482733,12812.424456808782,3.0
o4-mini_base_direct_tempmedium,single_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue",lognormal,135918.5545311795,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,13420.335073781082,2.0
o4-mini_base_direct_tempmedium,single_8,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Manufacturing sector",lognormal,118114.28124564738,102027.73835979268,100007.45378075758,96086.10542906604,11.513,0.2,,,20611.313858690315,8798.32986203203,4.0
o4-mini_base_direct_tempmedium,single_9,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA",lognormal,112787.63917117984,103182.03113906784,100007.45378075758,93948.3084603586,11.513,0.25,,,26203.86024363793,6040.488075721234,3.0
o4-mini_base_direct_tempmedium,triple_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has $10+ billion (USD) revenue, and the company has 10000+ Employees",gaussian,118251.32857142856,,,,,,,,,10536.148519899536,2.0
o4-mini_base_direct_tempmedium,triple_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees, and the company is public",gaussian,139448.54430379748,,,,,,,,,11028.222954399474,2.0
o4-mini_base_direct_tempmedium,triple_2,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company has 10000+ Employees",lognormal,155732.97684275525,142914.2387054562,140084.3471757332,134591.56135699214,11.85,0.2,,,28871.07247684296,12642.875530073852,3.0
o4-mini_base_direct_tempmedium,triple_3,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector, and the company has 10000+ Employees",lognormal,118720.89715773796,134759.90600217157,130613.77957221284,122700.29071357669,11.78,0.25,,,34223.30132818695,10239.392518050652,2.0
o4-mini_base_direct_tempmedium,triple_4,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company is in the Information Technology sector",gaussian,149777.29166666666,,,,,,,,,13316.585958637585,2.0
o4-mini_base_direct_tempmedium,triple_5,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in the Information Technology sector",gaussian,141910.6349206349,,,,,,,,,12494.824088052988,2.0
o4-mini_base_direct_tempmedium,triple_6,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is not public, and the company has $1 to $5 billion (USD) revenue",lognormal,115310.790107107,152970.4431979748,149941.4254778013,144062.1380905167,11.918,0.2,,,30902.594397789057,7205.921156602196,1.0
o4-mini_base_direct_tempmedium,triple_7,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public, and the company is in CA",lognormal,150920.77347810924,172818.98565406524,169396.94046033398,162754.79141900392,12.04,0.2,,,34912.332776555675,9233.635244032255,2.0
o4-mini_base_direct_tempmedium,triple_8,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in CA",gaussian,150605.63636363635,,,,,,,,,11277.45030803145,3.0
